,,"Seed, Cleaning & Treatment",Fertilizer,Chemical,"Fuel, Oil & Lube",,variable cost,fixedcost,Fertilizer,(NPKS blend)
Fallow,black,0,0,0,0,0,0,0,0,0
Feed Barley,black,37.13,142.50,30.41,33.34,,342.94,188.6,142.50,80-30-10-0
Malt Barley,black,37.13,143.00,50.68,38.04,,389.53,188.6,143.00,70-30-20-10
Canola,black,77.00,193.00,42.40,37.61,,460.03,188.6,193.00,100-40-15-20
Oats,black,62.40,120.50,21.22,38.47,,347.02,188.6,120.50,70-30-0-0
Yellow Peas,black,91.00,47.00,47.48,49.58,,355.45,188.6,47.00,5-30-15-0
Spring Wheat,black,48.71,142.50,50.68,38.47,,388.02,188.6,142.50,80-30-10-0
Fallow,dark brown,0,0,0,0,0,0,0,0,0
Feed Barley,dark brown,33.00,120.00,30.41,34.19,,307.6,100.88,120.00,70-25-5-0
Malt Barley,dark brown,33.00,125.50,49.71,37.61,,341.54,100.88,125.50,60-30-15-10
Canola,dark brown,77.00,143.50,40.19,44.68,,400.35,100.88,143.50,75-30-10-15
Oats,dark brown,62.40,91.50,21.22,36.93,,287.57,100.88,91.50,55-20-0-0
Yellow Peas,dark brown,82.60,33.50,47.48,44.45,,296.72,100.88,33.50,5-20-10-0
Spring Wheat,dark brown,43.30,107.00,49.71,34.78,,319.67,100.88,107.00,60-25-5-0
Fallow,brown,0,0,0,0,0,0,0,0,0
Feed Barley,brown,33.00,107.00,30.41,29.06,,282.04,110.33,107.00,60-25-5-0
Malt Barley,brown,33.00,107.50,49.71,34.71,,309.99,110.33,107.50,50-30-10-10
Canola,brown,68.60,123.00,40.19,38.98,,359.9,110.33,123.00,65-25-10-10
Oats,brown,62.40,84.50,21.22,35.88,,277.08,110.33,84.50,50-20-0-0
Yellow Peas,brown,84.00,33.50,47.48,34.90,,285.28,110.33,33.50,5-20-10-0
Spring Wheat,brown,43.30,89.00,49.71,35.28,,309.56,110.33,89.00,50-20-5-0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,, ,
