REF_DATE,Farm products,VALUE
1985-01,Barley [1151141],127.39
1985-02,Barley [1151141],127.36
1985-03,Barley [1151141],130.29
1985-04,Barley [1151141],127.39
1985-05,Barley [1151141],125.62
1985-06,Barley [1151141],121.36
1985-07,Barley [1151141],120.22
1985-08,Barley [1151141],115.68
1985-09,Barley [1151141],101.85
1985-10,Barley [1151141],97.83
1985-11,Barley [1151141],97.3
1985-12,Barley [1151141],97.65
1986-01,Barley [1151141],95.14
1986-02,Barley [1151141],90.49
1986-03,Barley [1151141],88.56
1986-04,Barley [1151141],84.56
1986-05,Barley [1151141],90.31
1986-06,Barley [1151141],95.68
1986-07,Barley [1151141],93.71
1986-08,Barley [1151141],73.96
1986-09,Barley [1151141],66.31
1986-10,Barley [1151141],66.53
1986-11,Barley [1151141],65.7
1986-12,Barley [1151141],64.77
1987-01,Barley [1151141],65.56
1987-02,Barley [1151141],63.79
1987-03,Barley [1151141],63.65
1987-04,Barley [1151141],65
1987-05,Barley [1151141],66.79
1987-06,Barley [1151141],67.92
1987-07,Barley [1151141],63.48
1987-08,Barley [1151141],61.74
1987-09,Barley [1151141],52.42
1987-10,Barley [1151141],52.08
1987-11,Barley [1151141],54.08
1987-12,Barley [1151141],50.96
1988-01,Barley [1151141],53.64
1988-02,Barley [1151141],54.67
1988-03,Barley [1151141],54.15
1988-04,Barley [1151141],56.03
1988-05,Barley [1151141],64.99
1988-06,Barley [1151141],82.96
1988-07,Barley [1151141],91.83
1988-08,Barley [1151141],101.72
1988-09,Barley [1151141],101.78
1988-10,Barley [1151141],103.2
1988-11,Barley [1151141],107.05
1988-12,Barley [1151141],110.39
1989-01,Barley [1151141],114.33
1989-02,Barley [1151141],116.01
1989-03,Barley [1151141],114.74
1989-04,Barley [1151141],115.09
1989-05,Barley [1151141],115.35
1989-06,Barley [1151141],106.82
1989-07,Barley [1151141],97.34
1989-08,Barley [1151141],95.08
1989-09,Barley [1151141],81.79
1989-10,Barley [1151141],84.36
1989-11,Barley [1151141],90.46
1989-12,Barley [1151141],94.35
1990-01,Barley [1151141],96.7
1990-02,Barley [1151141],97.38
1990-03,Barley [1151141],96.21
1990-04,Barley [1151141],97.2
1990-05,Barley [1151141],97.93
1990-06,Barley [1151141],97.85
1990-07,Barley [1151141],93.63
1990-08,Barley [1151141],92.88
1990-09,Barley [1151141],79.19
1990-10,Barley [1151141],75.29
1990-11,Barley [1151141],80.59
1990-12,Barley [1151141],82.44
1991-01,Barley [1151141],85.23
1991-02,Barley [1151141],83.78
1991-03,Barley [1151141],83.21
1991-04,Barley [1151141],81.64
1991-05,Barley [1151141],83.92
1991-06,Barley [1151141],82.14
1991-07,Barley [1151141],75.03
1991-08,Barley [1151141],66.45
1991-09,Barley [1151141],62.34
1991-10,Barley [1151141],64.94
1991-11,Barley [1151141],68.17
1991-12,Barley [1151141],70.8
1992-01,Barley [1151141],71.62
1992-02,Barley [1151141],72.02
1992-03,Barley [1151141],72.96
1992-04,Barley [1151141],74.98
1992-05,Barley [1151141],77.49
1992-06,Barley [1151141],79.6
1992-07,Barley [1151141],77.49
1992-08,Barley [1151141],79.04
1992-09,Barley [1151141],78.02
1992-10,Barley [1151141],76.79
1992-11,Barley [1151141],82.21
1992-12,Barley [1151141],81.36
1993-01,Barley [1151141],82.19
1993-02,Barley [1151141],82.81
1993-03,Barley [1151141],83.57
1993-04,Barley [1151141],83.18
1993-05,Barley [1151141],81.95
1993-06,Barley [1151141],80.17
1993-07,Barley [1151141],76.83
1993-08,Barley [1151141],74.68
1993-09,Barley [1151141],65.17
1993-10,Barley [1151141],64.33
1993-11,Barley [1151141],66.9
1993-12,Barley [1151141],72.25
1994-01,Barley [1151141],76.9
1994-02,Barley [1151141],80.25
1994-03,Barley [1151141],77.77
1994-04,Barley [1151141],75.05
1994-05,Barley [1151141],77.29
1994-06,Barley [1151141],75.59
1994-07,Barley [1151141],71.68
1994-08,Barley [1151141],75.11
1994-09,Barley [1151141],79.15
1994-10,Barley [1151141],88.07
1994-11,Barley [1151141],96.1
1994-12,Barley [1151141],101.17
1995-01,Barley [1151141],103.02
1995-02,Barley [1151141],104.27
1995-03,Barley [1151141],107.35
1995-04,Barley [1151141],110.38
1995-05,Barley [1151141],115.01
1995-06,Barley [1151141],119.66
1995-07,Barley [1151141],128.84
1995-08,Barley [1151141],127.45
1995-09,Barley [1151141],115.78
1995-10,Barley [1151141],125.62
1995-11,Barley [1151141],138.43
1995-12,Barley [1151141],149.43
1996-01,Barley [1151141],151.42
1996-02,Barley [1151141],150.73
1996-03,Barley [1151141],153.46
1996-04,Barley [1151141],156.75
1996-05,Barley [1151141],161.23
1996-06,Barley [1151141],171.57
1996-07,Barley [1151141],158.37
1996-08,Barley [1151141],127.38
1996-09,Barley [1151141],128.29
1996-10,Barley [1151141],124.2
1996-11,Barley [1151141],103.9
1996-12,Barley [1151141],117.21
1997-01,Barley [1151141],115.5
1997-02,Barley [1151141],113.39
1997-03,Barley [1151141],115.22
1997-04,Barley [1151141],116.75
1997-05,Barley [1151141],114.99
1997-06,Barley [1151141],112.93
1997-07,Barley [1151141],103.5
1997-08,Barley [1151141],106.65
1997-09,Barley [1151141],106.54
1997-10,Barley [1151141],112.4
1997-11,Barley [1151141],115.17
1997-12,Barley [1151141],116.98
1998-01,Barley [1151141],121.98
1998-02,Barley [1151141],116.47
1998-03,Barley [1151141],111.63
1998-04,Barley [1151141],110.39
1998-05,Barley [1151141],109.87
1998-06,Barley [1151141],108.47
1998-07,Barley [1151141],106.32
1998-08,Barley [1151141],93.73
1998-09,Barley [1151141],88.6
1998-10,Barley [1151141],97.75
1998-11,Barley [1151141],100.98
1998-12,Barley [1151141],99.16
1999-01,Barley [1151141],104.31
1999-02,Barley [1151141],96.96
1999-03,Barley [1151141],88.04
1999-04,Barley [1151141],85.57
1999-05,Barley [1151141],90.21
1999-06,Barley [1151141],85.94
1999-07,Barley [1151141],91.47
1999-08,Barley [1151141],85.87
1999-09,Barley [1151141],82.23
1999-10,Barley [1151141],84.41
1999-11,Barley [1151141],81.66
1999-12,Barley [1151141],80.78
2000-01,Barley [1151141],87.82
2000-02,Barley [1151141],81.36
2000-03,Barley [1151141],84.21
2000-04,Barley [1151141],84.77
2000-05,Barley [1151141],81.02
2000-06,Barley [1151141],80.84
2000-07,Barley [1151141],84.87
2000-08,Barley [1151141],88.69
2000-09,Barley [1151141],85.98
2000-10,Barley [1151141],93.25
2000-11,Barley [1151141],104.15
2000-12,Barley [1151141],110.34
2001-01,Barley [1151141],112.06
2001-02,Barley [1151141],105.41
2001-03,Barley [1151141],112.18
2001-04,Barley [1151141],111.05
2001-05,Barley [1151141],117.92
2001-06,Barley [1151141],119.22
2001-07,Barley [1151141],133.91
2001-08,Barley [1151141],129.55
2001-09,Barley [1151141],130.44
2001-10,Barley [1151141],133.99
2001-11,Barley [1151141],132.17
2001-12,Barley [1151141],139.14
2002-01,Barley [1151141],154.1
2002-02,Barley [1151141],141.43
2002-03,Barley [1151141],137.59
2002-04,Barley [1151141],127.47
2002-05,Barley [1151141],145.01
2002-06,Barley [1151141],144.4
2002-07,Barley [1151141],163.78
2002-08,Barley [1151141],171.14
2002-09,Barley [1151141],163.7
2002-10,Barley [1151141],168.1
2002-11,Barley [1151141],170.77
2002-12,Barley [1151141],162.89
2003-01,Barley [1151141],176.68
2003-02,Barley [1151141],160.78
2003-03,Barley [1151141],154.83
2003-04,Barley [1151141],152.49
2003-05,Barley [1151141],146.43
2003-06,Barley [1151141],135.66
2003-07,Barley [1151141],117.06
2003-08,Barley [1151141],112.65
2003-09,Barley [1151141],109.34
2003-10,Barley [1151141],107.39
2003-11,Barley [1151141],111.94
2003-12,Barley [1151141],114.56
2004-01,Barley [1151141],121.21
2004-02,Barley [1151141],113.34
2004-03,Barley [1151141],117.05
2004-04,Barley [1151141],125.29
2004-05,Barley [1151141],129.38
2004-06,Barley [1151141],131.42
2004-07,Barley [1151141],124.02
2004-08,Barley [1151141],109.15
2004-09,Barley [1151141],100.24
2004-10,Barley [1151141],93.75
2004-11,Barley [1151141],98.97
2004-12,Barley [1151141],95.68
2005-01,Barley [1151141],93.67
2005-02,Barley [1151141],91.33
2005-03,Barley [1151141],91.39
2005-04,Barley [1151141],92.53
2005-05,Barley [1151141],94.18
2005-06,Barley [1151141],93.65
2005-07,Barley [1151141],92.5
2005-08,Barley [1151141],91.14
2005-09,Barley [1151141],88.49
2005-10,Barley [1151141],90.64
2005-11,Barley [1151141],90.43
2005-12,Barley [1151141],91.5
2006-01,Barley [1151141],95.4
2006-02,Barley [1151141],94.1
2006-03,Barley [1151141],93.34
2006-04,Barley [1151141],92.26
2006-05,Barley [1151141],96.45
2006-06,Barley [1151141],92.06
2006-07,Barley [1151141],92.27
2006-08,Barley [1151141],91.2
2006-09,Barley [1151141],100.3
2006-10,Barley [1151141],119.57
2006-11,Barley [1151141],123.95
2006-12,Barley [1151141],130.78
2007-01,Barley [1151141],134.49
2007-02,Barley [1151141],142.69
2007-03,Barley [1151141],144.85
2007-04,Barley [1151141],147.16
2007-05,Barley [1151141],154.36
2007-06,Barley [1151141],160.78
2007-07,Barley [1151141],163.41
2007-08,Barley [1151141],159.69
2007-09,Barley [1151141],164.01
2007-10,Barley [1151141],164.56
2007-11,Barley [1151141],169.02
2007-12,Barley [1151141],178.88
2008-01,Barley [1151141],188.87
2008-02,Barley [1151141],192.65
2008-03,Barley [1151141],195.07
2008-04,Barley [1151141],202.6
