REF_DATE,Farm products,VALUE
1985-01,Canola (including rapeseed) [113111],342
1985-02,Canola (including rapeseed) [113111],347.27
1985-03,Canola (including rapeseed) [113111],350.04
1985-04,Canola (including rapeseed) [113111],363.84
1985-05,Canola (including rapeseed) [113111],354.58
1985-06,Canola (including rapeseed) [113111],349.59
1985-07,Canola (including rapeseed) [113111],335.06
1985-08,Canola (including rapeseed) [113111],305.64
1985-09,Canola (including rapeseed) [113111],302.87
1985-10,Canola (including rapeseed) [113111],289.45
1985-11,Canola (including rapeseed) [113111],283.31
1985-12,Canola (including rapeseed) [113111],281.6
1986-01,Canola (including rapeseed) [113111],281.59
1986-02,Canola (including rapeseed) [113111],266.06
1986-03,Canola (including rapeseed) [113111],261.31
1986-04,Canola (including rapeseed) [113111],244.42
1986-05,Canola (including rapeseed) [113111],240.22
1986-06,Canola (including rapeseed) [113111],228.11
1986-07,Canola (including rapeseed) [113111],216.4
1986-08,Canola (including rapeseed) [113111],188
1986-09,Canola (including rapeseed) [113111],186.97
1986-10,Canola (including rapeseed) [113111],198.01
1986-11,Canola (including rapeseed) [113111],206.21
1986-12,Canola (including rapeseed) [113111],200.35
1987-01,Canola (including rapeseed) [113111],200.08
1987-02,Canola (including rapeseed) [113111],188.9
1987-03,Canola (including rapeseed) [113111],182.67
1987-04,Canola (including rapeseed) [113111],183.49
1987-05,Canola (including rapeseed) [113111],205.9
1987-06,Canola (including rapeseed) [113111],218.93
1987-07,Canola (including rapeseed) [113111],222.49
1987-08,Canola (including rapeseed) [113111],207.68
1987-09,Canola (including rapeseed) [113111],203.23
1987-10,Canola (including rapeseed) [113111],214.46
1987-11,Canola (including rapeseed) [113111],224.1
1987-12,Canola (including rapeseed) [113111],237.29
1988-01,Canola (including rapeseed) [113111],260.29
1988-02,Canola (including rapeseed) [113111],261.65
1988-03,Canola (including rapeseed) [113111],257.94
1988-04,Canola (including rapeseed) [113111],265.9
1988-05,Canola (including rapeseed) [113111],289
1988-06,Canola (including rapeseed) [113111],344.23
1988-07,Canola (including rapeseed) [113111],354.05
1988-08,Canola (including rapeseed) [113111],328.66
1988-09,Canola (including rapeseed) [113111],330.4
1988-10,Canola (including rapeseed) [113111],310.02
1988-11,Canola (including rapeseed) [113111],303.02
1988-12,Canola (including rapeseed) [113111],307.61
1989-01,Canola (including rapeseed) [113111],299.08
1989-02,Canola (including rapeseed) [113111],289.81
1989-03,Canola (including rapeseed) [113111],299.16
1989-04,Canola (including rapeseed) [113111],300.82
1989-05,Canola (including rapeseed) [113111],296.61
1989-06,Canola (including rapeseed) [113111],264.56
1989-07,Canola (including rapeseed) [113111],254.34
1989-08,Canola (including rapeseed) [113111],238.95
1989-09,Canola (including rapeseed) [113111],256.03
1989-10,Canola (including rapeseed) [113111],251.12
1989-11,Canola (including rapeseed) [113111],262.33
1989-12,Canola (including rapeseed) [113111],267.05
1990-01,Canola (including rapeseed) [113111],268.18
1990-02,Canola (including rapeseed) [113111],268.6
1990-03,Canola (including rapeseed) [113111],274.02
1990-04,Canola (including rapeseed) [113111],284.44
1990-05,Canola (including rapeseed) [113111],289.86
1990-06,Canola (including rapeseed) [113111],281.82
1990-07,Canola (including rapeseed) [113111],276.39
1990-08,Canola (including rapeseed) [113111],266.42
1990-09,Canola (including rapeseed) [113111],257.31
1990-10,Canola (including rapeseed) [113111],253.95
1990-11,Canola (including rapeseed) [113111],260.83
1990-12,Canola (including rapeseed) [113111],255.84
1991-01,Canola (including rapeseed) [113111],262.09
1991-02,Canola (including rapeseed) [113111],257.17
1991-03,Canola (including rapeseed) [113111],256.74
1991-04,Canola (including rapeseed) [113111],266.23
1991-05,Canola (including rapeseed) [113111],266.75
1991-06,Canola (including rapeseed) [113111],258.79
1991-07,Canola (including rapeseed) [113111],243.2
1991-08,Canola (including rapeseed) [113111],242.41
1991-09,Canola (including rapeseed) [113111],235.68
1991-10,Canola (including rapeseed) [113111],232.81
1991-11,Canola (including rapeseed) [113111],231.34
1991-12,Canola (including rapeseed) [113111],227.66
1992-01,Canola (including rapeseed) [113111],233.6
1992-02,Canola (including rapeseed) [113111],236.58
1992-03,Canola (including rapeseed) [113111],244.8
1992-04,Canola (including rapeseed) [113111],243.99
1992-05,Canola (including rapeseed) [113111],247.49
1992-06,Canola (including rapeseed) [113111],256.7
1992-07,Canola (including rapeseed) [113111],250.16
1992-08,Canola (including rapeseed) [113111],251.96
1992-09,Canola (including rapeseed) [113111],254.79
1992-10,Canola (including rapeseed) [113111],228.43
1992-11,Canola (including rapeseed) [113111],246.47
1992-12,Canola (including rapeseed) [113111],251.36
1993-01,Canola (including rapeseed) [113111],267.62
1993-02,Canola (including rapeseed) [113111],269.32
1993-03,Canola (including rapeseed) [113111],277.62
1993-04,Canola (including rapeseed) [113111],276.85
1993-05,Canola (including rapeseed) [113111],270.65
1993-06,Canola (including rapeseed) [113111],270.08
1993-07,Canola (including rapeseed) [113111],271.72
1993-08,Canola (including rapeseed) [113111],269.44
1993-09,Canola (including rapeseed) [113111],268.81
1993-10,Canola (including rapeseed) [113111],258.91
1993-11,Canola (including rapeseed) [113111],265.23
1993-12,Canola (including rapeseed) [113111],330.95
1994-01,Canola (including rapeseed) [113111],310
1994-02,Canola (including rapeseed) [113111],320.41
1994-03,Canola (including rapeseed) [113111],336.52
1994-04,Canola (including rapeseed) [113111],357.37
1994-05,Canola (including rapeseed) [113111],373.35
1994-06,Canola (including rapeseed) [113111],380.24
1994-07,Canola (including rapeseed) [113111],342.14
1994-08,Canola (including rapeseed) [113111],315.3
1994-09,Canola (including rapeseed) [113111],317.61
1994-10,Canola (including rapeseed) [113111],317.56
1994-11,Canola (including rapeseed) [113111],336.45
1994-12,Canola (including rapeseed) [113111],358.59
1995-01,Canola (including rapeseed) [113111],367.46
1995-02,Canola (including rapeseed) [113111],390.35
1995-03,Canola (including rapeseed) [113111],402.33
1995-04,Canola (including rapeseed) [113111],393.65
1995-05,Canola (including rapeseed) [113111],375.25
1995-06,Canola (including rapeseed) [113111],367.91
1995-07,Canola (including rapeseed) [113111],370.66
1995-08,Canola (including rapeseed) [113111],350.72
1995-09,Canola (including rapeseed) [113111],346.51
1995-10,Canola (including rapeseed) [113111],348.83
1995-11,Canola (including rapeseed) [113111],348.11
1995-12,Canola (including rapeseed) [113111],359.95
1996-01,Canola (including rapeseed) [113111],364.07
1996-02,Canola (including rapeseed) [113111],364.59
1996-03,Canola (including rapeseed) [113111],363.68
1996-04,Canola (including rapeseed) [113111],379.47
1996-05,Canola (including rapeseed) [113111],393.32
1996-06,Canola (including rapeseed) [113111],392.03
1996-07,Canola (including rapeseed) [113111],408.18
