year,Corn
1908,..
1909,..
1910,..
1911,..
1912,..
1913,..
1914,..
1915,..
1916,..
1917,..
1918,..
1919,..
1920,..
1921,..
1922,..
1923,..
1924,..
1925,..
1926,..
1927,..
1928,..
1929,..
1930,..
1931,..
1932,..
1933,..
1934,..
1935,..
1936,..
1937,..
1938,..
1939,..
1940,..
1941,..
1942,..
1943,..
1944,..
1945,..
1946,..
1947,..
1948,..
1949,..
1950,..
1951,..
1952,..
1953,..
1954,..
1955,..
1956,..
1957,..
1958,..
1959,..
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,108.8
1980,103.6
1981,109.1
1982,85.5
1983,104.2
1984,90
1985,85.7
1986,93.2
1987,87.5
1988,100
1989,61.1
1990,92.9
1991,92.3
1992,55
1993,100
1994,100
1995,100
1996,96.2
1997,100
1998,90
1999,80
2000,110
2001,86.7
2002,80
2003,60
2004,65
2005,104
2006,130
2007,128.6
2008,93.3
2009,113.3
2010,..
2011,93.3
2012,93.3
2013,130
2014,102.9
2015,107.8
2016,128.7
2017,133.8
2018,144.6
2019,124
2020,141.1
2021,143.1
