REF_DATE,Farm products,VALUE
1985-01,Oats [115113111],114.62
1985-02,Oats [115113111],116.19
1985-03,Oats [115113111],118.36
1985-04,Oats [115113111],115.68
1985-05,Oats [115113111],105.73
1985-06,Oats [115113111],102.24
1985-07,Oats [115113111],96.94
1985-08,Oats [115113111],104.01
1985-09,Oats [115113111],97.83
1985-10,Oats [115113111],91.98
1985-11,Oats [115113111],97.96
1985-12,Oats [115113111],98.94
1986-01,Oats [115113111],96.67
1986-02,Oats [115113111],90.8
1986-03,Oats [115113111],91.86
1986-04,Oats [115113111],86.4
1986-05,Oats [115113111],93.6
1986-06,Oats [115113111],95.26
1986-07,Oats [115113111],93.98
1986-08,Oats [115113111],81.45
1986-09,Oats [115113111],66.09
1986-10,Oats [115113111],63.34
1986-11,Oats [115113111],67.18
1986-12,Oats [115113111],66.72
1987-01,Oats [115113111],68.41
1987-02,Oats [115113111],68.05
1987-03,Oats [115113111],64.98
1987-04,Oats [115113111],67.51
1987-05,Oats [115113111],67.27
1987-06,Oats [115113111],66.82
1987-07,Oats [115113111],63.51
1987-08,Oats [115113111],66.53
1987-09,Oats [115113111],57.66
1987-10,Oats [115113111],61.46
1987-11,Oats [115113111],70.71
1987-12,Oats [115113111],73.5
1988-01,Oats [115113111],80.46
1988-02,Oats [115113111],77.65
1988-03,Oats [115113111],79.3
1988-04,Oats [115113111],77.7
1988-05,Oats [115113111],83.3
1988-06,Oats [115113111],118.47
1988-07,Oats [115113111],130.39
1988-08,Oats [115113111],141.34
1988-09,Oats [115113111],139.33
1988-10,Oats [115113111],135.45
1988-11,Oats [115113111],137.52
1988-12,Oats [115113111],141.6
1989-01,Oats [115113111],137.97
1989-02,Oats [115113111],138.22
1989-03,Oats [115113111],136.07
1989-04,Oats [115113111],129.22
1989-05,Oats [115113111],127.72
1989-06,Oats [115113111],107.06
1989-07,Oats [115113111],96.89
1989-08,Oats [115113111],87.96
1989-09,Oats [115113111],79.24
1989-10,Oats [115113111],79.4
1989-11,Oats [115113111],84.07
1989-12,Oats [115113111],84.69
1990-01,Oats [115113111],83.76
1990-02,Oats [115113111],81.22
1990-03,Oats [115113111],80.97
1990-04,Oats [115113111],81.52
1990-05,Oats [115113111],86.34
1990-06,Oats [115113111],81.92
1990-07,Oats [115113111],69.39
1990-08,Oats [115113111],65.61
1990-09,Oats [115113111],59.24
1990-10,Oats [115113111],67.03
1990-11,Oats [115113111],71
1990-12,Oats [115113111],68.68
1991-01,Oats [115113111],69.65
1991-02,Oats [115113111],68.25
1991-03,Oats [115113111],69.04
1991-04,Oats [115113111],67.17
1991-05,Oats [115113111],66.8
1991-06,Oats [115113111],67.82
1991-07,Oats [115113111],65.19
1991-08,Oats [115113111],67.56
1991-09,Oats [115113111],67.76
1991-10,Oats [115113111],73.04
1991-11,Oats [115113111],73.48
1991-12,Oats [115113111],77.46
1992-01,Oats [115113111],82.33
1992-02,Oats [115113111],93.58
1992-03,Oats [115113111],97.79
1992-04,Oats [115113111],94.34
1992-05,Oats [115113111],93.97
1992-06,Oats [115113111],95.48
1992-07,Oats [115113111],90.1
1992-08,Oats [115113111],95.98
1992-09,Oats [115113111],98.56
1992-10,Oats [115113111],94.96
1992-11,Oats [115113111],101.98
1992-12,Oats [115113111],103.79
1993-01,Oats [115113111],104.21
1993-02,Oats [115113111],99.64
1993-03,Oats [115113111],93.42
1993-04,Oats [115113111],95.89
1993-05,Oats [115113111],91.95
1993-06,Oats [115113111],91.32
1993-07,Oats [115113111],92.46
1993-08,Oats [115113111],89.63
1993-09,Oats [115113111],92
1993-10,Oats [115113111],91.89
1993-11,Oats [115113111],91.28
1993-12,Oats [115113111],89.87
1994-01,Oats [115113111],89.2
1994-02,Oats [115113111],87.74
1994-03,Oats [115113111],85.38
1994-04,Oats [115113111],84.05
1994-05,Oats [115113111],81.62
1994-06,Oats [115113111],82.84
1994-07,Oats [115113111],80.71
1994-08,Oats [115113111],81.19
1994-09,Oats [115113111],85.18
1994-10,Oats [115113111],86.24
1994-11,Oats [115113111],87.3
1994-12,Oats [115113111],85.46
1995-01,Oats [115113111],83.76
1995-02,Oats [115113111],83.07
1995-03,Oats [115113111],83.01
1995-04,Oats [115113111],87.63
1995-05,Oats [115113111],93.05
1995-06,Oats [115113111],97.92
1995-07,Oats [115113111],102.84
1995-08,Oats [115113111],116.69
1995-09,Oats [115113111],122.1
1995-10,Oats [115113111],127.46
1995-11,Oats [115113111],143.23
1995-12,Oats [115113111],177.23
1996-01,Oats [115113111],177.44
1996-02,Oats [115113111],179.58
1996-03,Oats [115113111],184.01
1996-04,Oats [115113111],197.5
