year,Wheat
1908,25.1
1909,24.9
1910,10.3
1911,22.3
1912,21.6
1913,22.7
1914,21
1915,31.1
1916,25
1917,18.3
1918,6.1
1919,8.1
1920,20.5
1921,10.4
1922,11.3
1923,28
1924,11
1925,18.3
1926,18.5
1927,27.4
1928,25.5
1929,12.1
1930,20.5
1931,17.7
1932,20.4
1933,13
1934,15
1935,13.2
1936,8.8
1937,9.7
1938,18.6
1939,19.3
1940,20.9
1941,14.9
1942,26.8
1943,17.1
1944,15.5
1945,12.9
1946,18.2
1947,15.8
1948,18.3
1949,13
1950,15.6
1951,23.6
1952,26.8
1953,25.7
1954,17.9
1955,23.1
1956,26.1
1957,18.8
1958,20.4
1959,20.9
1960,19.9
1961,16
1962,19.6
1963,25.3
1964,22.3
1965,25.3
1966,29.3
1967,22.7
1968,25.5
1969,26.2
1970,27.7
1971,26.6
1972,27.6
1973,27.3
1974,24.6
1975,29.9
1976,32.4
1977,24.7
1978,28.7
1979,28.9
1980,33.3
1981,33.4
1982,32.3
1983,32.5
1984,25.1
1985,24.8
1986,34.9
1987,28.8
1988,29.2
1989,31.3
1990,33.6
1991,37
1992,30.6
1993,39.5
1994,34.1
1995,40.2
1996,40.8
1997,38.7
1998,36.5
1999,42.2
2000,39.4
2001,35
2002,26.8
2003,38.8
2004,46.1
2005,48.1
2006,43.2
2007,40.2
2008,47.3
2009,41.1
2010,46.8
2011,49.5
2012,47.4
2013,58.5
2014,51.4
2015,46.9
2016,58.8
2017,55.5
2018,52.4
2019,54.7
2020,56.8
2021,36.7
