"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1908","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","26.8","","","","1"
"1909","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","29.7","","","","1"
"1910","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","22.5","","","","1"
"1911","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","29.2","","","","1"
"1912","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","31.2","","","","1"
"1913","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","30.0","","","","1"
"1914","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","24.2","","","","1"
"1915","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","31.4","","","","1"
"1916","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.7","","","","1"
"1917","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.0","","","","1"
"1918","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","24.5","","","","1"
"1919","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","21.3","","","","1"
"1920","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","24.8","","","","1"
"1921","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","21.4","","","","1"
"1922","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","27.6","","","","1"
"1923","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","27.7","","","","1"
"1924","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","26.1","","","","1"
"1925","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","24.7","","","","1"
"1926","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","27.4","","","","1"
"1927","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","27.7","","","","1"
"1928","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","27.9","","","","1"
"1929","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","17.3","","","","1"
"1930","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","24.3","","","","1"
"1931","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","17.8","","","","1"
"1932","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","21.5","","","","1"
"1933","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","17.3","","","","1"
"1934","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","17.6","","","","1"
"1935","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","21.6","","","","1"
"1936","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","16.2","","","","1"
"1937","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","19.2","","","","1"
"1938","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.0","","","","1"
"1939","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.7","","","","1"
"1940","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","24.0","","","","1"
"1941","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","20.8","","","","1"
"1942","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","37.2","","","","1"
"1943","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","25.6","","","","1"
"1944","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","26.7","","","","1"
"1945","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","21.4","","","","1"
"1946","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.7","","","","1"
"1947","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","18.9","","","","1"
"1948","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.8","","","","1"
"1949","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","19.9","","","","1"
"1950","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","25.7","","","","1"
"1951","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","31.3","","","","1"
"1952","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","34.4","","","","1"
"1953","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","29.4","","","","1"
"1954","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","22.3","","","","1"
"1955","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","25.4","","","","1"
"1956","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","32.1","","","","1"
"1957","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","23.0","","","","1"
"1958","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","25.6","","","","1"
"1959","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","27.3","","","","1"
"1960","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","28.2","","","","1"
"1961","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","20.4","","","","1"
"1962","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","31.4","","","","1"
"1963","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","35.8","","","","1"
"1964","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","30.7","","","","1"
"1965","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","35.7","","","","1"
