year,Barley
1908,29.9
1909,32.3
1910,20.4
1911,26.5
1912,33
1913,32.2
1914,27
1915,32.3
1916,29
1917,22
1918,16.5
1919,25.5
1920,26.5
1921,20.5
1922,16.5
1923,38.5
1924,25
1925,25.8
1926,22
1927,30
1928,29.1
1929,17.8
1930,25.4
1931,29.3
1932,28.1
1933,20.3
1934,20.1
1935,17.8
1936,17
1937,22.2
1938,26
1939,24.2
1940,28.7
1941,18.1
1942,39
1943,25
1944,26.6
1945,18.1
1946,26.9
1947,22.1
1948,24.7
1949,17
1950,22.1
1951,34.5
1952,35.4
1953,31
1954,22.9
1955,27
1956,33.6
1957,25.8
1958,27.8
1959,30.5
1960,28.7
1961,26.9
1962,31.3
1963,34.9
1964,32.2
1965,33.9
1966,41
1967,32.2
1968,38.3
1969,40
1970,42
1971,39.4
1972,44.2
1973,39
1974,36.9
1975,42.2
1976,45.4
1977,45.9
1978,45.1
1979,45.9
1980,50.7
1981,49.6
1982,49.5
1983,45.9
1984,41
1985,41.7
1986,59.5
1987,54
1988,57.2
1989,51.1
1990,56.3
1991,54
1992,51.3
1993,64.4
1994,55.2
1995,61.9
1996,61.3
1997,57
1998,56.5
1999,65.5
2000,56.3
2001,54.5
2002,42
2003,56.3
2004,65.4
2005,66.8
2006,59.5
2007,55
2008,66.7
2009,58.2
2010,66.6
2011,67
2012,59.9
2013,75.6
2014,66.3
2015,68.3
2016,75.9
2017,71.8
2018,66.8
2019,72.4
2020,74
2021,47.4
