REF_DATE,Farm products,VALUE
1987-01,Dry peas [114314],196
1987-02,Dry peas [114314],196
1987-03,Dry peas [114314],196
1987-04,Dry peas [114314],196
1987-05,Dry peas [114314],196
1987-06,Dry peas [114314],196
1987-07,Dry peas [114314],196
1987-08,Dry peas [114314],173
1987-09,Dry peas [114314],173
1987-10,Dry peas [114314],173
1987-11,Dry peas [114314],173
1987-12,Dry peas [114314],173
1988-01,Dry peas [114314],173
1988-02,Dry peas [114314],173
1988-03,Dry peas [114314],173
1988-04,Dry peas [114314],173
1988-05,Dry peas [114314],173
1988-06,Dry peas [114314],173
1988-07,Dry peas [114314],173
1988-08,Dry peas [114314],201
1988-09,Dry peas [114314],201
1988-10,Dry peas [114314],201
1988-11,Dry peas [114314],201
1988-12,Dry peas [114314],201
1989-01,Dry peas [114314],201
1989-02,Dry peas [114314],201
1989-03,Dry peas [114314],201
1989-04,Dry peas [114314],201
1989-05,Dry peas [114314],201
1989-06,Dry peas [114314],201
1989-07,Dry peas [114314],201
1989-08,Dry peas [114314],180
1989-09,Dry peas [114314],180
1989-10,Dry peas [114314],180
1989-11,Dry peas [114314],180
1989-12,Dry peas [114314],180
1990-01,Dry peas [114314],180
1990-02,Dry peas [114314],180
1990-03,Dry peas [114314],180
1990-04,Dry peas [114314],180
1990-05,Dry peas [114314],180
1990-06,Dry peas [114314],180
1990-07,Dry peas [114314],180
1990-08,Dry peas [114314],184
1990-09,Dry peas [114314],184
1990-10,Dry peas [114314],184
1990-11,Dry peas [114314],184
1990-12,Dry peas [114314],184
1991-01,Dry peas [114314],184
1991-02,Dry peas [114314],184
1991-03,Dry peas [114314],184
1991-04,Dry peas [114314],184
1991-05,Dry peas [114314],184
1991-06,Dry peas [114314],184
1991-07,Dry peas [114314],184
1991-08,Dry peas [114314],155
1991-09,Dry peas [114314],155
1991-10,Dry peas [114314],160
1991-11,Dry peas [114314],160
1991-12,Dry peas [114314],160
1992-01,Dry peas [114314],161.3
1992-02,Dry peas [114314],161.3
1992-03,Dry peas [114314],161.3
1992-04,Dry peas [114314],161.3
1992-05,Dry peas [114314],161.3
1992-06,Dry peas [114314],161.3
1992-07,Dry peas [114314],161.3
1992-08,Dry peas [114314],180
1992-09,Dry peas [114314],180
1992-10,Dry peas [114314],180
1992-11,Dry peas [114314],180
1992-12,Dry peas [114314],180
1993-01,Dry peas [114314],185.5
1993-02,Dry peas [114314],185.5
1993-03,Dry peas [114314],185.5
1993-04,Dry peas [114314],185.5
1993-05,Dry peas [114314],185.5
1993-06,Dry peas [114314],185.5
1993-07,Dry peas [114314],185.5
1993-08,Dry peas [114314],161
1993-09,Dry peas [114314],160
1993-10,Dry peas [114314],163
1993-11,Dry peas [114314],165
1993-12,Dry peas [114314],170
1994-01,Dry peas [114314],170
1994-02,Dry peas [114314],175
1994-03,Dry peas [114314],180
1994-04,Dry peas [114314],185
1994-05,Dry peas [114314],190
1994-06,Dry peas [114314],185
1994-07,Dry peas [114314],180
1994-08,Dry peas [114314],163
1994-09,Dry peas [114314],164
1994-10,Dry peas [114314],163
1994-11,Dry peas [114314],171
1994-12,Dry peas [114314],177
1995-01,Dry peas [114314],176
1995-02,Dry peas [114314],170
1995-03,Dry peas [114314],169
1995-04,Dry peas [114314],169
1995-05,Dry peas [114314],168
1995-06,Dry peas [114314],171
1995-07,Dry peas [114314],170
1995-08,Dry peas [114314],175
1995-09,Dry peas [114314],182
1995-10,Dry peas [114314],191
1995-11,Dry peas [114314],201
1995-12,Dry peas [114314],215
1996-01,Dry peas [114314],225
1996-02,Dry peas [114314],222
1996-03,Dry peas [114314],224
1996-04,Dry peas [114314],223
1996-05,Dry peas [114314],221
1996-06,Dry peas [114314],220
1996-07,Dry peas [114314],225
1996-08,Dry peas [114314],228
1996-09,Dry peas [114314],234
1996-10,Dry peas [114314],225
1996-11,Dry peas [114314],215
1996-12,Dry peas [114314],210
1997-01,Dry peas [114314],210
1997-02,Dry peas [114314],215
1997-03,Dry peas [114314],230
1997-04,Dry peas [114314],225
1997-05,Dry peas [114314],230
1997-06,Dry peas [114314],205
1997-07,Dry peas [114314],185
1997-08,Dry peas [114314],190
1997-09,Dry peas [114314],190
