REF_DATE,Farm products,VALUE
1985-01,Flaxseed [115122111],307.84
1985-02,Flaxseed [115122111],310.51
1985-03,Flaxseed [115122111],314.41
1985-04,Flaxseed [115122111],323.16
1985-05,Flaxseed [115122111],323.89
1985-06,Flaxseed [115122111],315.33
1985-07,Flaxseed [115122111],304.63
1985-08,Flaxseed [115122111],289.79
1985-09,Flaxseed [115122111],286.14
1985-10,Flaxseed [115122111],283.66
1985-11,Flaxseed [115122111],281.12
1985-12,Flaxseed [115122111],283.64
1986-01,Flaxseed [115122111],275.98
1986-02,Flaxseed [115122111],259.3
1986-03,Flaxseed [115122111],249.17
1986-04,Flaxseed [115122111],239.15
1986-05,Flaxseed [115122111],228.94
1986-06,Flaxseed [115122111],214.84
1986-07,Flaxseed [115122111],206.24
1986-08,Flaxseed [115122111],188.53
1986-09,Flaxseed [115122111],182.74
1986-10,Flaxseed [115122111],182.02
1986-11,Flaxseed [115122111],185.78
1986-12,Flaxseed [115122111],179.91
1987-01,Flaxseed [115122111],168.12
1987-02,Flaxseed [115122111],151.31
1987-03,Flaxseed [115122111],146.44
1987-04,Flaxseed [115122111],157.04
1987-05,Flaxseed [115122111],164.92
1987-06,Flaxseed [115122111],163.47
1987-07,Flaxseed [115122111],156.64
1987-08,Flaxseed [115122111],148.61
1987-09,Flaxseed [115122111],158.77
1987-10,Flaxseed [115122111],166.74
1987-11,Flaxseed [115122111],176.87
1987-12,Flaxseed [115122111],183.02
1988-01,Flaxseed [115122111],197.4
1988-02,Flaxseed [115122111],192.93
1988-03,Flaxseed [115122111],187.57
1988-04,Flaxseed [115122111],189.81
1988-05,Flaxseed [115122111],208.35
1988-06,Flaxseed [115122111],257.01
1988-07,Flaxseed [115122111],340.03
1988-08,Flaxseed [115122111],358.32
1988-09,Flaxseed [115122111],394.55
1988-10,Flaxseed [115122111],379.15
1988-11,Flaxseed [115122111],348.13
1988-12,Flaxseed [115122111],359.78
1989-01,Flaxseed [115122111],379.97
1989-02,Flaxseed [115122111],364.66
1989-03,Flaxseed [115122111],375.94
1989-04,Flaxseed [115122111],357.57
1989-05,Flaxseed [115122111],312.5
1989-06,Flaxseed [115122111],305.33
1989-07,Flaxseed [115122111],299.83
1989-08,Flaxseed [115122111],298.07
1989-09,Flaxseed [115122111],327.61
1989-10,Flaxseed [115122111],322.9
1989-11,Flaxseed [115122111],326.62
1989-12,Flaxseed [115122111],316.19
1990-01,Flaxseed [115122111],319.58
1990-02,Flaxseed [115122111],351.81
1990-03,Flaxseed [115122111],378.18
1990-04,Flaxseed [115122111],368.15
1990-05,Flaxseed [115122111],386.63
1990-06,Flaxseed [115122111],389.61
1990-07,Flaxseed [115122111],354.3
1990-08,Flaxseed [115122111],254.7
1990-09,Flaxseed [115122111],226.1
1990-10,Flaxseed [115122111],244.18
1990-11,Flaxseed [115122111],228.84
1990-12,Flaxseed [115122111],222.63
1991-01,Flaxseed [115122111],206.44
1991-02,Flaxseed [115122111],190.45
1991-03,Flaxseed [115122111],187.02
1991-04,Flaxseed [115122111],180.22
1991-05,Flaxseed [115122111],175.66
1991-06,Flaxseed [115122111],162.29
1991-07,Flaxseed [115122111],150.55
1991-08,Flaxseed [115122111],160.72
1991-09,Flaxseed [115122111],148.85
1991-10,Flaxseed [115122111],149.05
1991-11,Flaxseed [115122111],149.54
1991-12,Flaxseed [115122111],132.58
1992-01,Flaxseed [115122111],150.97
1992-02,Flaxseed [115122111],157.84
1992-03,Flaxseed [115122111],166.14
1992-04,Flaxseed [115122111],167.35
1992-05,Flaxseed [115122111],154.65
1992-06,Flaxseed [115122111],162.11
1992-07,Flaxseed [115122111],158.85
1992-08,Flaxseed [115122111],177.26
1992-09,Flaxseed [115122111],202.22
1992-10,Flaxseed [115122111],211.38
1992-11,Flaxseed [115122111],225.58
1992-12,Flaxseed [115122111],228.96
1993-01,Flaxseed [115122111],233.66
1993-02,Flaxseed [115122111],234.51
