year,Oats
1908,43.9
1909,46.8
1910,21.6
1911,48.3
1912,46.3
1913,43.7
1914,38
1915,45.9
1916,48.1
1917,34
1918,22.8
1919,23.7
1920,37.2
1921,22
1922,22
1923,50
1924,24
1925,30.9
1926,30
1927,45
1928,37.7
1929,21.9
1930,36
1931,36.7
1932,37.5
1933,25.3
1934,26.7
1935,26.5
1936,19.7
1937,27.6
1938,35
1939,31.4
1940,38.9
1941,22.8
1942,53.3
1943,35
1944,36.6
1945,22.8
1946,35.2
1947,29.6
1948,31.4
1949,23.2
1950,29.4
1951,47
1952,49.9
1953,47.5
1954,31.4
1955,39.6
1956,48.7
1957,34.4
1958,34.5
1959,37.9
1960,40.3
1961,36.9
1962,46.5
1963,51.2
1964,40.5
1965,47.3
1966,48.5
1967,40.8
1968,48
1969,51.6
1970,57.1
1971,51.7
1972,56.8
1973,55.5
1974,47.1
1975,55.3
1976,58.9
1977,58.1
1978,52.4
1979,58.4
1980,63.1
1981,62.3
1982,62.9
1983,59.1
1984,53.9
1985,54.5
1986,72.3
1987,67.5
1988,73.8
1989,61.9
1990,62.6
1991,60
1992,56
1993,79.2
1994,67
1995,66.7
1996,66.7
1997,63.5
1998,62.5
1999,70
2000,71
2001,64
2002,53.3
2003,65.4
2004,76.7
2005,79.7
2006,65
2007,65.6
2008,70.2
2009,66.7
2010,79.2
2011,81.9
2012,77.8
2013,95.1
2014,77.4
2015,70.8
2016,94.2
2017,92.9
2018,88.7
2019,93.6
2020,85.9
2021,58.7
