year,Peas
1908,..
1909,..
1910,11.5
1911,16
1912,18.5
1913,17
1914,17.3
1915,20
1916,20
1917,17.5
1918,18
1919,18
1920,17
1921,24
1922,11.6
1923,22
1924,18
1925,15
1926,15
1927,18.8
1928,16.5
1929,12.3
1930,16
1931,14.7
1932,16
1933,13
1934,14
1935,17.3
1936,21.4
1937,20.3
1938,27.5
1939,21
1940,19.2
1941,15
1942,19
1943,14
1944,11.5
1945,10
1946,16.5
1947,12
1948,14.3
1949,15.5
1950,13.4
1951,15
1952,17.3
1953,14.3
1954,17.4
1955,23.3
1956,21
1957,19.5
1958,25.8
1959,24.6
1960,13.3
1961,14.9
1962,17.2
1963,21.8
1964,24.1
1965,26.9
1966,23.9
1967,27.4
1968,25
1969,27.2
1970,24.4
1971,24.4
1972,28.6
1973,25
1974,22.4
1975,27.1
1976,28.6
1977,28.6
1978,32.9
1979,31.2
1980,36.2
1981,43.8
1982,43.1
1983,38.6
1984,33.6
1985,28.6
1986,39.5
1987,26.9
1988,33.2
1989,30.5
1990,37.6
1991,36.2
1992,29.2
1993,39.3
1994,35.3
1995,34
1996,40.4
1997,40.3
1998,35.9
1999,42.9
2000,35.6
2001,32.6
2002,18.5
2003,30.9
2004,39.3
2005,42.8
2006,35.9
2007,32.6
2008,38.4
2009,32.7
2010,39
2011,42.6
2012,41.9
2013,47.1
2014,40.6
2015,32.6
2016,46.1
2017,40.9
2018,39.9
2019,35.5
2020,41.5
2021,23.7
