REF_DATE,Farm products,VALUE
2012-01,Wheat (except durum wheat) [1121111],NA
2012-02,Wheat (except durum wheat) [1121111],NA
2012-03,Wheat (except durum wheat) [1121111],NA
2012-04,Wheat (except durum wheat) [1121111],NA
2012-05,Wheat (except durum wheat) [1121111],NA
2012-06,Wheat (except durum wheat) [1121111],NA
2012-07,Wheat (except durum wheat) [1121111],NA
2012-08,Wheat (except durum wheat) [1121111],273.83
2012-09,Wheat (except durum wheat) [1121111],283.7
2012-10,Wheat (except durum wheat) [1121111],279.64
2012-11,Wheat (except durum wheat) [1121111],287.72
2012-12,Wheat (except durum wheat) [1121111],288.71
2013-01,Wheat (except durum wheat) [1121111],294.19
2013-02,Wheat (except durum wheat) [1121111],293.8
2013-03,Wheat (except durum wheat) [1121111],294.57
2013-04,Wheat (except durum wheat) [1121111],295.11
2013-05,Wheat (except durum wheat) [1121111],292.46
2013-06,Wheat (except durum wheat) [1121111],287.04
2013-07,Wheat (except durum wheat) [1121111],275.38
2013-08,Wheat (except durum wheat) [1121111],257.42
2013-09,Wheat (except durum wheat) [1121111],245.77
2013-10,Wheat (except durum wheat) [1121111],244.91
2013-11,Wheat (except durum wheat) [1121111],241.45
2013-12,Wheat (except durum wheat) [1121111],233.94
2014-01,Wheat (except durum wheat) [1121111],226.77
2014-02,Wheat (except durum wheat) [1121111],221.75
2014-03,Wheat (except durum wheat) [1121111],219.9
2014-04,Wheat (except durum wheat) [1121111],212.41
2014-05,Wheat (except durum wheat) [1121111],212.72
2014-06,Wheat (except durum wheat) [1121111],206.03
2014-07,Wheat (except durum wheat) [1121111],196.29
2014-08,Wheat (except durum wheat) [1121111],192.86
2014-09,Wheat (except durum wheat) [1121111],196.08
2014-10,Wheat (except durum wheat) [1121111],198.84
2014-11,Wheat (except durum wheat) [1121111],204.41
2014-12,Wheat (except durum wheat) [1121111],209.22
2015-01,Wheat (except durum wheat) [1121111],212.58
2015-02,Wheat (except durum wheat) [1121111],216.62
2015-03,Wheat (except durum wheat) [1121111],221.62
2015-04,Wheat (except durum wheat) [1121111],220.99
2015-05,Wheat (except durum wheat) [1121111],221.05
2015-06,Wheat (except durum wheat) [1121111],220.22
2015-07,Wheat (except durum wheat) [1121111],229.51
2015-08,Wheat (except durum wheat) [1121111],220.91
2015-09,Wheat (except durum wheat) [1121111],223.95
2015-10,Wheat (except durum wheat) [1121111],225.19
2015-11,Wheat (except durum wheat) [1121111],226.24
2015-12,Wheat (except durum wheat) [1121111],232.56
2016-01,Wheat (except durum wheat) [1121111],235.32
2016-02,Wheat (except durum wheat) [1121111],231.29
2016-03,Wheat (except durum wheat) [1121111],235.08
2016-04,Wheat (except durum wheat) [1121111],235.17
2016-05,Wheat (except durum wheat) [1121111],243.65
2016-06,Wheat (except durum wheat) [1121111],241.73
2016-07,Wheat (except durum wheat) [1121111],234.27
2016-08,Wheat (except durum wheat) [1121111],217.59
2016-09,Wheat (except durum wheat) [1121111],214.53
2016-10,Wheat (except durum wheat) [1121111],217.13
2016-11,Wheat (except durum wheat) [1121111],222.36
2016-12,Wheat (except durum wheat) [1121111],227.24
2017-01,Wheat (except durum wheat) [1121111],228.99
2017-02,Wheat (except durum wheat) [1121111],222.93
2017-03,Wheat (except durum wheat) [1121111],229.33
2017-04,Wheat (except durum wheat) [1121111],231.68
2017-05,Wheat (except durum wheat) [1121111],232.47
2017-06,Wheat (except durum wheat) [1121111],237.61
2017-07,Wheat (except durum wheat) [1121111],241.76
2017-08,Wheat (except durum wheat) [1121111],244.05
2017-09,Wheat (except durum wheat) [1121111],247.44
2017-10,Wheat (except durum wheat) [1121111],251.03
2017-11,Wheat (except durum wheat) [1121111],256.17
2017-12,Wheat (except durum wheat) [1121111],255.1
2018-01,Wheat (except durum wheat) [1121111],252.8
2018-02,Wheat (except durum wheat) [1121111],249.46
2018-03,Wheat (except durum wheat) [1121111],256.22
2018-04,Wheat (except durum wheat) [1121111],251.02
2018-05,Wheat (except durum wheat) [1121111],253.59
2018-06,Wheat (except durum wheat) [1121111],254.9
2018-07,Wheat (except durum wheat) [1121111],251.31
2018-08,Wheat (except durum wheat) [1121111],257.77
2018-09,Wheat (except durum wheat) [1121111],256.6
2018-10,Wheat (except durum wheat) [1121111],246.63
2018-11,Wheat (except durum wheat) [1121111],253.6
2018-12,Wheat (except durum wheat) [1121111],256.23
2019-01,Wheat (except durum wheat) [1121111],249.93
2019-02,Wheat (except durum wheat) [1121111],250.43
2019-03,Wheat (except durum wheat) [1121111],252.49
2019-04,Wheat (except durum wheat) [1121111],253.27
2019-05,Wheat (except durum wheat) [1121111],248.4
2019-06,Wheat (except durum wheat) [1121111],254.18
2019-07,Wheat (except durum wheat) [1121111],249.64
2019-08,Wheat (except durum wheat) [1121111],240.51
2019-09,Wheat (except durum wheat) [1121111],234.06
2019-10,Wheat (except durum wheat) [1121111],232.57
2019-11,Wheat (except durum wheat) [1121111],228.6
2019-12,Wheat (except durum wheat) [1121111],235.16
2020-01,Wheat (except durum wheat) [1121111],238.44
2020-02,Wheat (except durum wheat) [1121111],238.64
2020-03,Wheat (except durum wheat) [1121111],233.38
2020-04,Wheat (except durum wheat) [1121111],237.96
2020-05,Wheat (except durum wheat) [1121111],240.37
2020-06,Wheat (except durum wheat) [1121111],231.79
2020-07,Wheat (except durum wheat) [1121111],243.04
2020-08,Wheat (except durum wheat) [1121111],231.52
2020-09,Wheat (except durum wheat) [1121111],238.15
2020-10,Wheat (except durum wheat) [1121111],243.87
2020-11,Wheat (except durum wheat) [1121111],246.86
