year,VALUE
1914,6
1914,6
1914,6
1914,6
1914,5.9
1914,6
1914,5.9
1914,6
1914,6
1914,6.1
1914,6.1
1914,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.1
1915,6.3
1915,6.3
1916,6.4
1916,6.5
1916,6.5
1916,6.5
1916,6.5
1916,6.6
1916,6.6
1916,6.6
1916,6.8
1916,6.9
1916,7.1
1916,7.2
1917,7.4
1917,7.4
1917,7.6
1917,7.6
1917,7.9
1917,8
1917,8
1917,8
1917,8
1917,8.2
1917,8.2
1917,8.3
1918,8.4
1918,8.5
1918,8.6
1918,8.6
1918,8.7
1918,8.8
1918,8.9
1918,9.2
1918,9.2
1918,9.3
1918,9.4
1918,9.4
1919,9.5
1919,9.4
1919,9.4
1919,9.4
1919,9.7
1919,9.7
1919,9.8
1919,10
1919,10
1919,10
1919,10.1
1919,10.2
1920,10.6
1920,10.8
1920,11.2
1920,11.3
1920,11.6
1920,11.8
1920,11.8
1920,11.7
1920,11.5
1920,11.5
1920,11.3
1920,11.2
1921,11
1921,10.8
1921,10.5
1921,10.2
1921,10
1921,9.7
1921,9.7
1921,9.7
1921,9.7
1921,9.7
1921,9.4
1921,9.4
1922,9.4
1922,9.3
1922,9.2
1922,9.2
1922,9.1
1922,9.1
1922,9.1
1922,9.2
1922,9.2
1922,9.2
1922,9.2
1922,9.2
1923,9.2
1923,9.2
1923,9.3
1923,9.2
1923,9.2
1923,9.2
1923,9.1
1923,9.2
1923,9.2
1923,9.2
1923,9.2
1923,9.2
1924,9.2
1924,9.2
1924,9.2
1924,9
1924,8.9
1924,8.8
1924,8.8
1924,9
1924,9
1924,9
1924,9.1
1924,9.1
1925,9.2
1925,9.2
1925,9.2
1925,9.1
1925,9
1925,9
1925,9
1925,9.1
1925,9.1
1925,9.2
1925,9.2
1925,9.3
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1926,9.2
1927,9.2
1927,9.2
1927,9.1
1927,9
1927,9
1927,9
1927,9.1
1927,9
1927,9
1927,9
1927,9.1
1927,9.1
1928,9.2
1928,9.2
1928,9.1
1928,9.1
1928,9
1928,9
1928,9
1928,9.2
1928,9.2
1928,9.2
1928,9.2
1928,9.2
1929,9.2
1929,9.2
1929,9.2
1929,9.1
1929,9.2
1929,9.2
1929,9.2
1929,9.2
1929,9.2
1929,9.3
1929,9.3
1929,9.4
1930,9.4
1930,9.4
1930,9.3
1930,9.2
1930,9.2
1930,9.2
1930,9.2
1930,9.2
1930,8.9
1930,8.9
1930,8.9
1930,8.8
1931,8.7
1931,8.6
1931,8.5
1931,8.4
1931,8.3
1931,8.2
1931,8.1
1931,8.2
1931,8.1
1931,7.9
1931,7.9
1931,7.9
1932,7.8
1932,7.6
1932,7.6
1932,7.6
1932,7.4
1932,7.4
1932,7.4
1932,7.4
1932,7.4
1932,7.3
1932,7.3
1932,7.3
1933,7.2
1933,7.2
1933,7.1
1933,7.1
1933,7.1
1933,7.1
1933,7.1
1933,7.2
1933,7.2
1933,7.1
1933,7.1
1933,7.1
1934,7.2
1934,7.2
1934,7.3
1934,7.3
1934,7.2
1934,7.2
1934,7.2
1934,7.2
1934,7.2
1934,7.2
1934,7.2
1934,7.2
1935,7.2
1935,7.2
1935,7.2
1935,7.2
1935,7.2
1935,7.2
1935,7.2
1935,7.2
1935,7.3
1935,7.3
1935,7.4
1935,7.4
1936,7.4
1936,7.4
1936,7.4
1936,7.3
1936,7.3
1936,7.3
1936,7.4
1936,7.4
1936,7.4
1936,7.5
1936,7.5
1936,7.5
1937,7.6
1937,7.6
1937,7.6
1937,7.6
1937,7.6
1937,7.6
1937,7.6
1937,7.7
1937,7.7
1937,7.8
1937,7.8
1937,7.8
1938,7.7
1938,7.7
1938,7.8
1938,7.8
1938,7.7
1938,7.7
1938,7.8
1938,7.8
1938,7.7
1938,7.6
1938,7.6
1938,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.6
1939,7.8
1939,7.8
1939,7.8
1940,7.8
1940,7.8
1940,7.9
1940,7.9
1940,7.9
1940,7.9
1940,8
1940,8
1940,8.1
1940,8.1
1940,8.1
1940,8.2
1941,8.2
1941,8.2
1941,8.2
1941,8.2
1941,8.2
1941,8.4
1941,8.5
1941,8.6
1941,8.7
1941,8.7
1941,8.8
1941,8.7
1942,8.7
1942,8.7
1942,8.8
1942,8.8
1942,8.8
1942,8.8
1942,8.9
1942,8.9
1942,8.8
1942,8.9
1942,9
1942,9
1943,8.8
1943,8.8
1943,8.8
1943,9
1943,9
1943,9
1943,9.1
1943,9.1
1943,9.2
