,,,,,,,,,,,
Country,Country National wetland policy,Signatory to the Ramsar Convention?,Number of Ramsar- designated Wetlands of International Importance?,Wise use goal?,No net loss/net gain goal?,Biodiversity goal?,Ecosystem services goal?,National wetland inventory?,Compensatory mitigation/ offsetting used?,Use of penalties?,Use of incentives?
Afghanistan,No policy,No,0,No,No,No,No,Yes,No,No,No
Albania,Some types of wetlands are protected under specific laws,Yes,4,No,No,Yes,No,Yes,No,No,Yes
Algeria,"A policy is promised or ""in development""",Yes,50,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Andorra,"A policy is promised or ""in development""",Yes,3,No,No,No,No,Yes,No,No,No
Angola,No policy,No,0,No,No,No,No,No,No,No,No
Antigua and Barbuda,No policy,Yes,1,Yes,No,Yes,No,Yes,No,No,Yes
Argentina,No policy,Yes,21,Yes,No,No,Yes,In progress,No,No,No
Armenia,"A policy is promised or ""in development""",Yes,3,Yes,No,Yes,No,Yes,No,No,No
Australia,Some types of wetlands are protected under specific laws,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Austria,"Integrated wetland strategy or plan, without the force of law",Yes,23,Yes,No,Yes,No,Yes,No,No,Yes
Azerbaijan,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,No,No,In progress,No,No,Yes
Bahamas,A wetland-specific policy is in place to protect all wetlands,Yes,1,Yes,Yes,No,Yes,In progress,No,Yes,Yes
Bahrain,No policy,Yes,2,Yes,No,Yes,No,Yes,No,No,Yes
Bangladesh,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,Yes,Yes,In progress,No,No,Yes
Barbados,No policy,Yes,1,No,No,No,No,In progress,No,No,No
Belarus,"Integrated wetland strategy or plan, without the force of law",Yes,16,Yes,No,Yes,No,In progress,No,No,Yes
Belgium,Some types of wetlands are protected under specific laws,Yes,9,No,No,Yes,Yes,No,No,No,Yes
Belize,"A policy is promised or ""in development""",Yes,2,Yes,No,No,Yes,No,No,No,No
Benin,"A policy is promised or ""in development""",Yes,4,No,No,Yes,Yes,No,No,No,Yes
Bhutan,"A policy is promised or ""in development""",Yes,2,Yes,No,No,No,No,No,No,No
Bolivia,"A policy is promised or ""in development""",Yes,11,No,No,No,No,In progress,No,No,No
Bosnia and Herzegovina,No policy,Yes,3,No,No,No,No,No,No,No,No
Botswana,"A policy is promised or ""in development""",Yes,1,Yes,No,Yes,No,Yes,No,No,No
Brazil,A broad environmental policy protects most wetlands indirectly,Yes,12,Yes,Yes,Yes,Yes,In progress,Yes,No,Yes
Brunei Darussalam,No policy,No,0,No,No,No,No,No,No,No,No
Bulgaria,A broad environmental policy protects most wetlands indirectly,Yes,11,Yes,Yes,Yes,Yes,Yes,No,No,Yes
