year,province,Farm products,value
1985,Prince Edward Island,Barley [1151141],4.8687
1985,Nova Scotia,Barley [1151141],5.0291999999999994
1985,New Brunswick,Barley [1151141],3.9972000000000003
1985,Quebec,Barley [1151141],4.8777
1985,Ontario,Barley [1151141],4.2162
1985,Manitoba,Barley [1151141],3.7311
1985,Saskatchewan,Barley [1151141],3.6413999999999995
1985,Alberta,Barley [1151141],3.8217
1985,British Columbia,Barley [1151141],3.8433
1985,Prince Edward Island,Barley [1151141],4.689
1985,Nova Scotia,Barley [1151141],5.113499999999999
1985,New Brunswick,Barley [1151141],4.5822
1985,Quebec,Barley [1151141],5.112
1985,Ontario,Barley [1151141],4.2438
1985,Manitoba,Barley [1151141],3.7047
1985,Saskatchewan,Barley [1151141],3.5892
1985,Alberta,Barley [1151141],3.8207999999999998
1985,British Columbia,Barley [1151141],3.9947999999999997
1985,Prince Edward Island,Barley [1151141],4.8354
1985,Nova Scotia,Barley [1151141],5.015999999999999
1985,New Brunswick,Barley [1151141],4.349399999999999
1985,Quebec,Barley [1151141],5.0154
1985,Ontario,Barley [1151141],4.3404
1985,Manitoba,Barley [1151141],3.7218
1985,Saskatchewan,Barley [1151141],3.681
1985,Alberta,Barley [1151141],3.9086999999999996
1985,British Columbia,Barley [1151141],4.1736
1985,Prince Edward Island,Barley [1151141],4.7814
1985,Nova Scotia,Barley [1151141],5.367
1985,New Brunswick,Barley [1151141],4.539000000000001
1985,Quebec,Barley [1151141],5.277299999999999
1985,Ontario,Barley [1151141],4.3404
1985,Manitoba,Barley [1151141],3.7388999999999997
1985,Saskatchewan,Barley [1151141],3.7644
1985,Alberta,Barley [1151141],3.8217
1985,British Columbia,Barley [1151141],4.1841
1985,Prince Edward Island,Barley [1151141],4.824
1985,Nova Scotia,Barley [1151141],5.1144
1985,New Brunswick,Barley [1151141],4.602
1985,Quebec,Barley [1151141],4.946699999999999
1985,Ontario,Barley [1151141],4.367999999999999
1985,Manitoba,Barley [1151141],3.6195
1985,Saskatchewan,Barley [1151141],3.5654999999999997
1985,Alberta,Barley [1151141],3.7686
1985,British Columbia,Barley [1151141],4.0821
1985,Prince Edward Island,Barley [1151141],4.9809
1985,Nova Scotia,Barley [1151141],5.2752
1985,New Brunswick,Barley [1151141],4.401
1985,Quebec,Barley [1151141],5.166899999999999
1985,Ontario,Barley [1151141],4.3404
1985,Manitoba,Barley [1151141],3.5526
1985,Saskatchewan,Barley [1151141],3.5769
1985,Alberta,Barley [1151141],3.6408
1985,British Columbia,Barley [1151141],3.9756
1985,Prince Edward Island,Barley [1151141],4.899
1985,Nova Scotia,Barley [1151141],5.4549
1985,New Brunswick,Barley [1151141],4.4013
1985,Quebec,Barley [1151141],4.974
1985,Ontario,Barley [1151141],3.8304
1985,Manitoba,Barley [1151141],3.4233
1985,Saskatchewan,Barley [1151141],3.429
1985,Alberta,Barley [1151141],3.6066
1985,British Columbia,Barley [1151141],3.9527999999999994
1985,Prince Edward Island,Barley [1151141],4.5018
1985,Nova Scotia,Barley [1151141],5.623499999999999
1985,New Brunswick,Barley [1151141],3.9627
1985,Quebec,Barley [1151141],3.6237
1985,Ontario,Barley [1151141],2.9625
1985,Manitoba,Barley [1151141],2.9025
1985,Saskatchewan,Barley [1151141],3.1407
1985,Alberta,Barley [1151141],3.4704
1985,British Columbia,Barley [1151141],3.723
1985,Prince Edward Island,Barley [1151141],4.2921
1985,Nova Scotia,Barley [1151141],4.9563
1985,New Brunswick,Barley [1151141],3.7419
1985,Quebec,Barley [1151141],3.5273999999999996
1985,Ontario,Barley [1151141],3.045
1985,Manitoba,Barley [1151141],2.7573
1985,Saskatchewan,Barley [1151141],2.8038
1985,Alberta,Barley [1151141],3.0555
1985,British Columbia,Barley [1151141],3.4640999999999997
1985,Prince Edward Island,Barley [1151141],4.155
1985,Nova Scotia,Barley [1151141],5.1975
1985,New Brunswick,Barley [1151141],3.9416999999999995
1985,Quebec,Barley [1151141],3.8718
1985,Ontario,Barley [1151141],2.9487
1985,Manitoba,Barley [1151141],2.7033
1985,Saskatchewan,Barley [1151141],2.631
1985,Alberta,Barley [1151141],2.9349
1985,British Columbia,Barley [1151141],3.4265999999999996
1985,Prince Edward Island,Barley [1151141],4.2669
1985,Nova Scotia,Barley [1151141],4.8531
