year,province,Farm products,value
1985,Ontario,Canola (including rapeseed) [113111],10.211699999999999
1985,Manitoba,Canola (including rapeseed) [113111],10.2174
1985,Saskatchewan,Canola (including rapeseed) [113111],10.1946
1985,Alberta,Canola (including rapeseed) [113111],10.26
1985,British Columbia,Canola (including rapeseed) [113111],10.2315
1985,Ontario,Canola (including rapeseed) [113111],10.344
1985,Manitoba,Canola (including rapeseed) [113111],10.343399999999999
1985,Saskatchewan,Canola (including rapeseed) [113111],10.2378
1985,Alberta,Canola (including rapeseed) [113111],10.418099999999999
1985,British Columbia,Canola (including rapeseed) [113111],10.164299999999999
1985,Ontario,Canola (including rapeseed) [113111],10.396799999999999
1985,Manitoba,Canola (including rapeseed) [113111],10.401
1985,Saskatchewan,Canola (including rapeseed) [113111],10.493099999999998
1985,Alberta,Canola (including rapeseed) [113111],10.5012
1985,British Columbia,Canola (including rapeseed) [113111],10.4682
1985,Ontario,Canola (including rapeseed) [113111],10.8333
1985,Manitoba,Canola (including rapeseed) [113111],10.8366
1985,Saskatchewan,Canola (including rapeseed) [113111],10.9308
1985,Alberta,Canola (including rapeseed) [113111],10.915199999999999
1985,British Columbia,Canola (including rapeseed) [113111],10.8996
1985,Ontario,Canola (including rapeseed) [113111],10.6482
1985,Manitoba,Canola (including rapeseed) [113111],10.643099999999999
1985,Saskatchewan,Canola (including rapeseed) [113111],10.7997
1985,Alberta,Canola (including rapeseed) [113111],10.6374
1985,British Columbia,Canola (including rapeseed) [113111],10.725
1985,Ontario,Canola (including rapeseed) [113111],10.476299999999998
1985,Manitoba,Canola (including rapeseed) [113111],10.482
1985,Saskatchewan,Canola (including rapeseed) [113111],10.514100000000001
1985,Alberta,Canola (including rapeseed) [113111],10.487699999999998
1985,British Columbia,Canola (including rapeseed) [113111],10.159199999999998
1985,Ontario,Canola (including rapeseed) [113111],9.775199999999998
1985,Manitoba,Canola (including rapeseed) [113111],9.8994
1985,Saskatchewan,Canola (including rapeseed) [113111],10.008899999999999
1985,Alberta,Canola (including rapeseed) [113111],10.0518
1985,British Columbia,Canola (including rapeseed) [113111],9.7965
1985,Ontario,Canola (including rapeseed) [113111],9.060899999999998
1985,Manitoba,Canola (including rapeseed) [113111],9.075899999999999
1985,Saskatchewan,Canola (including rapeseed) [113111],8.9823
1985,Alberta,Canola (including rapeseed) [113111],9.1692
1985,British Columbia,Canola (including rapeseed) [113111],9.326999999999998
1985,Ontario,Canola (including rapeseed) [113111],8.4525
1985,Manitoba,Canola (including rapeseed) [113111],8.869499999999999
1985,Saskatchewan,Canola (including rapeseed) [113111],8.8401
1985,Alberta,Canola (including rapeseed) [113111],9.0861
1985,British Columbia,Canola (including rapeseed) [113111],8.9601
1985,Ontario,Canola (including rapeseed) [113111],8.2407
1985,Manitoba,Canola (including rapeseed) [113111],8.685899999999998
1985,Saskatchewan,Canola (including rapeseed) [113111],8.381699999999999
1985,Alberta,Canola (including rapeseed) [113111],8.683499999999999
1985,British Columbia,Canola (including rapeseed) [113111],8.490599999999999
1985,Ontario,Canola (including rapeseed) [113111],7.7909999999999995
1985,Manitoba,Canola (including rapeseed) [113111],8.2278
1985,Saskatchewan,Canola (including rapeseed) [113111],8.219999999999999
1985,Alberta,Canola (including rapeseed) [113111],8.4993
1985,British Columbia,Canola (including rapeseed) [113111],8.647499999999999
1985,Ontario,Canola (including rapeseed) [113111],8.6112
