year,province,Farm products,value
1985,Quebec,Corn for grain [1151111],4.830299999999999
1985,Ontario,Corn for grain [1151111],4.015499999999999
1985,Quebec,Corn for grain [1151111],4.948499999999999
1985,Ontario,Corn for grain [1151111],3.9800999999999993
1985,Quebec,Corn for grain [1151111],4.6296
1985,Ontario,Corn for grain [1151111],4.0863000000000005
1985,Quebec,Corn for grain [1151111],4.9365000000000006
1985,Ontario,Corn for grain [1151111],4.287
1985,Quebec,Corn for grain [1151111],4.9365000000000006
1985,Ontario,Corn for grain [1151111],4.2753
1985,Quebec,Corn for grain [1151111],4.924799999999999
1985,Ontario,Corn for grain [1151111],4.357799999999999
1985,Quebec,Corn for grain [1151111],5.0193
1985,Ontario,Corn for grain [1151111],4.0863000000000005
1985,Quebec,Corn for grain [1151111],4.7241
1985,Ontario,Corn for grain [1151111],3.8148
1985,Quebec,Corn for grain [1151111],4.8065999999999995
1985,Ontario,Corn for grain [1151111],3.6258
1985,Quebec,Corn for grain [1151111],4.5705
1985,Ontario,Corn for grain [1151111],3.2241
1985,Quebec,Corn for grain [1151111],3.5429999999999997
1985,Ontario,Corn for grain [1151111],3.3423
1985,Quebec,Corn for grain [1151111],4.4406
1985,Ontario,Corn for grain [1151111],3.6492
1986,Quebec,Corn for grain [1151111],3.3539999999999996
1986,Ontario,Corn for grain [1151111],3.7083
1986,Quebec,Corn for grain [1151111],4.2399000000000004
1986,Ontario,Corn for grain [1151111],3.6020999999999996
1986,Quebec,Corn for grain [1151111],4.1334
1986,Ontario,Corn for grain [1151111],3.5904000000000003
1986,Quebec,Corn for grain [1151111],4.109999999999999
1986,Ontario,Corn for grain [1151111],3.3539999999999996
1986,Quebec,Corn for grain [1151111],4.015499999999999
1986,Ontario,Corn for grain [1151111],3.4248
1986,Quebec,Corn for grain [1151111],3.9564
1986,Ontario,Corn for grain [1151111],3.4013999999999998
1986,Quebec,Corn for grain [1151111],3.8972999999999995
1986,Ontario,Corn for grain [1151111],3.1416
1986,Quebec,Corn for grain [1151111],3.7556999999999996
1986,Ontario,Corn for grain [1151111],2.8935
1986,Quebec,Corn for grain [1151111],3.4959
1986,Ontario,Corn for grain [1151111],2.799
1986,Quebec,Corn for grain [1151111],3.3230999999999997
1986,Ontario,Corn for grain [1151111],2.7123
1986,Quebec,Corn for grain [1151111],3.4347
1986,Ontario,Corn for grain [1151111],2.6826
