year,province,Farm products,value
1985,Manitoba,Flaxseed [115122111],9.249899999999998
1985,Saskatchewan,Flaxseed [115122111],9.335999999999999
1985,Alberta,Flaxseed [115122111],9.235199999999999
1985,Manitoba,Flaxseed [115122111],9.2943
1985,Saskatchewan,Flaxseed [115122111],9.450299999999999
1985,Alberta,Flaxseed [115122111],9.315299999999999
1985,Manitoba,Flaxseed [115122111],9.4587
1985,Saskatchewan,Flaxseed [115122111],9.5904
1985,Alberta,Flaxseed [115122111],9.4323
1985,Manitoba,Flaxseed [115122111],9.9765
1985,Saskatchewan,Flaxseed [115122111],10.037099999999999
1985,Alberta,Flaxseed [115122111],9.6948
1985,Manitoba,Flaxseed [115122111],9.7746
1985,Saskatchewan,Flaxseed [115122111],9.829199999999998
1985,Alberta,Flaxseed [115122111],9.7167
1985,Manitoba,Flaxseed [115122111],9.445500000000001
1985,Saskatchewan,Flaxseed [115122111],9.3927
1985,Alberta,Flaxseed [115122111],9.4599
1985,Manitoba,Flaxseed [115122111],9.0717
1985,Saskatchewan,Flaxseed [115122111],9.3522
1985,Alberta,Flaxseed [115122111],9.1389
1985,Manitoba,Flaxseed [115122111],8.3235
1985,Saskatchewan,Flaxseed [115122111],8.4285
1985,Alberta,Flaxseed [115122111],8.6937
1985,Manitoba,Flaxseed [115122111],8.628
1985,Saskatchewan,Flaxseed [115122111],8.5872
1985,Alberta,Flaxseed [115122111],8.5842
1985,Manitoba,Flaxseed [115122111],8.5407
1985,Saskatchewan,Flaxseed [115122111],8.4579
1985,Alberta,Flaxseed [115122111],8.5098
1985,Manitoba,Flaxseed [115122111],8.232
1985,Saskatchewan,Flaxseed [115122111],8.1096
1985,Alberta,Flaxseed [115122111],8.4336
1985,Manitoba,Flaxseed [115122111],8.4669
1985,Saskatchewan,Flaxseed [115122111],8.3592
1985,Alberta,Flaxseed [115122111],8.5092
1986,Manitoba,Flaxseed [115122111],8.3316
1986,Saskatchewan,Flaxseed [115122111],8.2476
1986,Alberta,Flaxseed [115122111],8.2794
1986,Manitoba,Flaxseed [115122111],7.89
1986,Saskatchewan,Flaxseed [115122111],7.828499999999999
1986,Alberta,Flaxseed [115122111],7.779
1986,Manitoba,Flaxseed [115122111],7.6602
1986,Saskatchewan,Flaxseed [115122111],7.5282
1986,Alberta,Flaxseed [115122111],7.475099999999999
