year,province,Farm products,value
1985,Prince Edward Island,Oats [115113111],4.1106
1985,Nova Scotia,Oats [115113111],4.8225
1985,New Brunswick,Oats [115113111],4.1397
1985,Quebec,Oats [115113111],4.610099999999999
1985,Ontario,Oats [115113111],4.3767
1985,Manitoba,Oats [115113111],3.4187999999999996
1985,Saskatchewan,Oats [115113111],3.4269
1985,Alberta,Oats [115113111],3.4386
1985,British Columbia,Oats [115113111],3.5972999999999997
1985,Prince Edward Island,Oats [115113111],4.166399999999999
1985,Nova Scotia,Oats [115113111],5.0169
1985,New Brunswick,Oats [115113111],4.6347000000000005
1985,Quebec,Oats [115113111],4.8243
1985,Ontario,Oats [115113111],4.3767
1985,Manitoba,Oats [115113111],3.5631
1985,Saskatchewan,Oats [115113111],3.5037000000000003
1985,Alberta,Oats [115113111],3.4857
1985,British Columbia,Oats [115113111],4.0488
1985,Prince Edward Island,Oats [115113111],4.1178
1985,Nova Scotia,Oats [115113111],4.9692
1985,New Brunswick,Oats [115113111],4.4064
1985,Quebec,Oats [115113111],4.7658000000000005
1985,Ontario,Oats [115113111],4.4352
1985,Manitoba,Oats [115113111],3.6528
1985,Saskatchewan,Oats [115113111],3.5591999999999997
1985,Alberta,Oats [115113111],3.5507999999999997
1985,British Columbia,Oats [115113111],4.2246
1985,Prince Edward Island,Oats [115113111],4.2336
1985,Nova Scotia,Oats [115113111],5.045999999999999
1985,New Brunswick,Oats [115113111],4.74
1985,Quebec,Oats [115113111],5.2911
1985,Ontario,Oats [115113111],4.4157
1985,Manitoba,Oats [115113111],3.5604
1985,Saskatchewan,Oats [115113111],3.5747999999999998
1985,Alberta,Oats [115113111],3.4704
1985,British Columbia,Oats [115113111],3.8411999999999997
1985,Prince Edward Island,Oats [115113111],4.1604
1985,Nova Scotia,Oats [115113111],4.9452
1985,New Brunswick,Oats [115113111],4.4925
1985,Quebec,Oats [115113111],4.8629999999999995
1985,Ontario,Oats [115113111],4.396199999999999
1985,Manitoba,Oats [115113111],3.2958
1985,Saskatchewan,Oats [115113111],3.3762
1985,Alberta,Oats [115113111],3.1719
1985,British Columbia,Oats [115113111],3.4862999999999995
1985,Prince Edward Island,Oats [115113111],4.3593
1985,Nova Scotia,Oats [115113111],5.0091
1985,New Brunswick,Oats [115113111],4.732799999999999
1985,Quebec,Oats [115113111],4.5908999999999995
1985,Ontario,Oats [115113111],4.396199999999999
1985,Manitoba,Oats [115113111],3.1068
1985,Saskatchewan,Oats [115113111],3.2013
1985,Alberta,Oats [115113111],3.0671999999999997
1985,British Columbia,Oats [115113111],3.8699999999999997
1985,Prince Edward Island,Oats [115113111],4.2939
1985,Nova Scotia,Oats [115113111],4.938899999999999
1985,New Brunswick,Oats [115113111],4.5399
1985,Quebec,Oats [115113111],4.3767
1985,Ontario,Oats [115113111],4.007099999999999
1985,Manitoba,Oats [115113111],3.1496999999999997
1985,Saskatchewan,Oats [115113111],3.0054000000000003
1985,Alberta,Oats [115113111],2.9082
1985,British Columbia,Oats [115113111],3.2685
1985,Prince Edward Island,Oats [115113111],3.9443999999999995
1985,Nova Scotia,Oats [115113111],5.3547
1985,New Brunswick,Oats [115113111],4.1457
1985,Quebec,Oats [115113111],3.8709
1985,Ontario,Oats [115113111],3.2874
1985,Manitoba,Oats [115113111],2.7657
1985,Saskatchewan,Oats [115113111],2.2062
1985,Alberta,Oats [115113111],3.1203
1985,British Columbia,Oats [115113111],3.4185
1985,Prince Edward Island,Oats [115113111],3.5822999999999996
1985,Nova Scotia,Oats [115113111],4.8786
1985,New Brunswick,Oats [115113111],3.6687
1985,Quebec,Oats [115113111],2.9349
1985,Ontario,Oats [115113111],2.3255999999999997
1985,Manitoba,Oats [115113111],2.3244000000000002
1985,Saskatchewan,Oats [115113111],2.3255999999999997
1985,Alberta,Oats [115113111],2.9349
1985,British Columbia,Oats [115113111],3.1308
1985,Prince Edward Island,Oats [115113111],3.5867999999999998
1985,Nova Scotia,Oats [115113111],4.8801
1985,New Brunswick,Oats [115113111],3.7668
1985,Quebec,Oats [115113111],3.3069
1985,Ontario,Oats [115113111],3.1512000000000002
1985,Manitoba,Oats [115113111],2.5116
1985,Saskatchewan,Oats [115113111],2.6109
1985,Alberta,Oats [115113111],2.7594
1985,British Columbia,Oats [115113111],3.0579
1985,Prince Edward Island,Oats [115113111],3.705
1985,Nova Scotia,Oats [115113111],4.7421
1985,New Brunswick,Oats [115113111],3.6734999999999998
1985,Quebec,Oats [115113111],3.6374999999999997
1985,Ontario,Oats [115113111],3.2096999999999998
1985,Manitoba,Oats [115113111],2.6874
1985,Saskatchewan,Oats [115113111],2.7359999999999998
1985,Alberta,Oats [115113111],2.9387999999999996
1985,British Columbia,Oats [115113111],3.0969
1985,Prince Edward Island,Oats [115113111],3.7904999999999998
1985,Nova Scotia,Oats [115113111],4.7832
1985,New Brunswick,Oats [115113111],3.642
1985,Quebec,Oats [115113111],3.735
1985,Ontario,Oats [115113111],3.2874
1985,Manitoba,Oats [115113111],2.8280999999999996
1985,Saskatchewan,Oats [115113111],2.6555999999999997
1985,Alberta,Oats [115113111],2.9682
1985,British Columbia,Oats [115113111],3.5879999999999996
1986,Prince Edward Island,Oats [115113111],3.7914
1986,Nova Scotia,Oats [115113111],4.6809
1986,New Brunswick,Oats [115113111],3.6464999999999996
1986,Quebec,Oats [115113111],3.8709
1986,Ontario,Oats [115113111],3.5597999999999996
1986,Manitoba,Oats [115113111],2.787
1986,Saskatchewan,Oats [115113111],2.6420999999999997
1986,Alberta,Oats [115113111],2.9001
1986,British Columbia,Oats [115113111],3.0974999999999997
1986,Prince Edward Island,Oats [115113111],3.6816
1986,Nova Scotia,Oats [115113111],4.7898
1986,New Brunswick,Oats [115113111],3.7944
1986,Quebec,Oats [115113111],3.7542
1986,Ontario,Oats [115113111],3.6959999999999997
1986,Manitoba,Oats [115113111],2.6709
1986,Saskatchewan,Oats [115113111],2.6612999999999998
1986,Alberta,Oats [115113111],2.7239999999999998
1986,British Columbia,Oats [115113111],3.4932
1986,Prince Edward Island,Oats [115113111],3.5385
1986,Nova Scotia,Oats [115113111],4.499099999999999
1986,New Brunswick,Oats [115113111],3.6195
1986,Quebec,Oats [115113111],3.8127
1986,Ontario,Oats [115113111],3.5597999999999996
1986,Manitoba,Oats [115113111],2.6883
1986,Saskatchewan,Oats [115113111],2.5179
1986,Alberta,Oats [115113111],2.7558
1986,British Columbia,Oats [115113111],2.8962
1986,Prince Edward Island,Oats [115113111],3.4674
1986,Nova Scotia,Oats [115113111],4.6518
1986,New Brunswick,Oats [115113111],3.7580999999999998
1986,Quebec,Oats [115113111],3.4820999999999995
1986,Ontario,Oats [115113111],3.1902
1986,Manitoba,Oats [115113111],2.5313999999999997
1986,Saskatchewan,Oats [115113111],2.5434
1986,Alberta,Oats [115113111],2.592
1986,British Columbia,Oats [115113111],3.1005
1986,Prince Edward Island,Oats [115113111],3.4674
1986,Nova Scotia,Oats [115113111],4.665
1986,New Brunswick,Oats [115113111],3.7725
1986,Quebec,Oats [115113111],3.6374999999999997
1986,Ontario,Oats [115113111],3.3069
1986,Manitoba,Oats [115113111],2.7102
1986,Saskatchewan,Oats [115113111],2.8314
1986,Alberta,Oats [115113111],2.808
1986,British Columbia,Oats [115113111],3.165
1986,Prince Edward Island,Oats [115113111],3.4932
1986,Nova Scotia,Oats [115113111],4.4364
1986,New Brunswick,Oats [115113111],3.849
1986,Quebec,Oats [115113111],3.5208
1986,Ontario,Oats [115113111],3.4431
1986,Manitoba,Oats [115113111],2.7762000000000002
1986,Saskatchewan,Oats [115113111],2.7285
1986,Alberta,Oats [115113111],2.8578
1986,British Columbia,Oats [115113111],3.2556
1986,Prince Edward Island,Oats [115113111],3.3371999999999997
1986,Nova Scotia,Oats [115113111],4.524
1986,New Brunswick,Oats [115113111],3.7956
1986,Quebec,Oats [115113111],3.2679
1986,Ontario,Oats [115113111],2.9958
1986,Manitoba,Oats [115113111],2.5077
1986,Saskatchewan,Oats [115113111],2.8053
1986,Alberta,Oats [115113111],2.8194
1986,British Columbia,Oats [115113111],3.5079000000000002
1986,Prince Edward Island,Oats [115113111],3.1827
1986,Nova Scotia,Oats [115113111],4.1868
1986,New Brunswick,Oats [115113111],3.5886
1986,Quebec,Oats [115113111],2.5941
1986,Ontario,Oats [115113111],2.4705
1986,Manitoba,Oats [115113111],2.1279000000000003
1986,Saskatchewan,Oats [115113111],2.1479999999999997
1986,Alberta,Oats [115113111],2.4435
1986,British Columbia,Oats [115113111],2.7117
1986,Prince Edward Island,Oats [115113111],2.9795999999999996
1986,Nova Scotia,Oats [115113111],4.0737
1986,New Brunswick,Oats [115113111],3.6117
1986,Quebec,Oats [115113111],2.4783
1986,Ontario,Oats [115113111],2.2176
1986,Manitoba,Oats [115113111],1.9113
1986,Saskatchewan,Oats [115113111],1.857
1986,Alberta,Oats [115113111],1.9827000000000001
1986,British Columbia,Oats [115113111],2.5745999999999998
1986,Prince Edward Island,Oats [115113111],2.9574
1986,Nova Scotia,Oats [115113111],3.8925
1986,New Brunswick,Oats [115113111],3.1799999999999997
1986,Quebec,Oats [115113111],2.9379
1986,Ontario,Oats [115113111],2.4899999999999998
1986,Manitoba,Oats [115113111],2.0109
1986,Saskatchewan,Oats [115113111],1.8389999999999997
1986,Alberta,Oats [115113111],1.9002000000000001
1986,British Columbia,Oats [115113111],2.6799
1986,Prince Edward Island,Oats [115113111],2.9811
1986,Nova Scotia,Oats [115113111],3.9638999999999998
1986,New Brunswick,Oats [115113111],3.1359
1986,Quebec,Oats [115113111],3.0366
1986,Ontario,Oats [115113111],2.6067
1986,Manitoba,Oats [115113111],2.0837999999999997
1986,Saskatchewan,Oats [115113111],1.9122
1986,Alberta,Oats [115113111],2.0154
1986,British Columbia,Oats [115113111],2.7123
1986,Prince Edward Island,Oats [115113111],3.1833
1986,Nova Scotia,Oats [115113111],4.1739
1986,New Brunswick,Oats [115113111],2.9676
1986,Quebec,Oats [115113111],3.4139999999999997
1986,Ontario,Oats [115113111],2.7620999999999998
1986,Manitoba,Oats [115113111],2.0301
1986,Saskatchewan,Oats [115113111],1.8947999999999998
1986,Alberta,Oats [115113111],2.0016
1986,British Columbia,Oats [115113111],2.2340999999999998
1987,Prince Edward Island,Oats [115113111],3.1542
1987,Nova Scotia,Oats [115113111],4.2483
1987,New Brunswick,Oats [115113111],3.0456
1987,Quebec,Oats [115113111],3.4215
1987,Ontario,Oats [115113111],2.9178
1987,Manitoba,Oats [115113111],2.0856
1987,Saskatchewan,Oats [115113111],1.8975
1987,Alberta,Oats [115113111],2.0523
1987,British Columbia,Oats [115113111],2.5659
1987,Prince Edward Island,Oats [115113111],3.1149
1987,Nova Scotia,Oats [115113111],4.170299999999999
1987,New Brunswick,Oats [115113111],3.2235
1987,Quebec,Oats [115113111],3.3362999999999996
1987,Ontario,Oats [115113111],2.8787999999999996
1987,Manitoba,Oats [115113111],2.1651
1987,Saskatchewan,Oats [115113111],1.9824
1987,Alberta,Oats [115113111],2.0414999999999996
1987,British Columbia,Oats [115113111],2.277
1987,Prince Edward Island,Oats [115113111],2.976
1987,Nova Scotia,Oats [115113111],3.7944
1987,New Brunswick,Oats [115113111],3.0192
1987,Quebec,Oats [115113111],3.3623999999999996
1987,Ontario,Oats [115113111],3.0149999999999997
1987,Manitoba,Oats [115113111],2.0868
1987,Saskatchewan,Oats [115113111],1.9038
1987,Alberta,Oats [115113111],1.9494
1987,British Columbia,Oats [115113111],2.4156
1987,Prince Edward Island,Oats [115113111],2.9406
1987,Nova Scotia,Oats [115113111],3.7728
1987,New Brunswick,Oats [115113111],3.2973
1987,Quebec,Oats [115113111],3.2127
1987,Ontario,Oats [115113111],3.3263999999999996
1987,Manitoba,Oats [115113111],1.9670999999999996
1987,Saskatchewan,Oats [115113111],1.8918
1987,Alberta,Oats [115113111],2.0253
1987,British Columbia,Oats [115113111],2.4108
1987,Prince Edward Island,Oats [115113111],2.8472999999999997
