year,province,Farm products,value
1992,Prince Edward Island,Soybeans [1151211],7.1751
1992,Quebec,Soybeans [1151211],6.7032
1992,Ontario,Soybeans [1151211],6.6735
1992,Prince Edward Island,Soybeans [1151211],7.5504
1992,Quebec,Soybeans [1151211],6.831899999999999
1992,Ontario,Soybeans [1151211],6.8019
1992,Prince Edward Island,Soybeans [1151211],8.008799999999999
1992,Quebec,Soybeans [1151211],7.033499999999999
1992,Ontario,Soybeans [1151211],7.004099999999999
1992,Prince Edward Island,Soybeans [1151211],8.390699999999999
1992,Quebec,Soybeans [1151211],7.1193
1992,Ontario,Soybeans [1151211],7.0893
1992,Prince Edward Island,Soybeans [1151211],8.1222
1992,Quebec,Soybeans [1151211],7.245299999999999
1992,Ontario,Soybeans [1151211],7.2162
1992,Prince Edward Island,Soybeans [1151211],7.6464
1992,Quebec,Soybeans [1151211],7.4529
1992,Ontario,Soybeans [1151211],7.4235
1992,Prince Edward Island,Soybeans [1151211],7.2489
1992,Quebec,Soybeans [1151211],6.9147
1992,Ontario,Soybeans [1151211],6.885299999999999
1992,Prince Edward Island,Soybeans [1151211],6.951
1992,Quebec,Soybeans [1151211],6.740099999999999
1992,Ontario,Soybeans [1151211],6.7143
1992,Prince Edward Island,Soybeans [1151211],6.584099999999999
1992,Quebec,Soybeans [1151211],6.887099999999999
1992,Ontario,Soybeans [1151211],6.8571
1992,Prince Edward Island,Soybeans [1151211],6.9018
1992,Quebec,Soybeans [1151211],6.9432
1992,Ontario,Soybeans [1151211],6.9132
1992,Prince Edward Island,Soybeans [1151211],7.1301
1992,Quebec,Soybeans [1151211],7.1187
1992,Ontario,Soybeans [1151211],7.088699999999999
1992,Prince Edward Island,Soybeans [1151211],7.4088
1992,Quebec,Soybeans [1151211],7.441199999999999
1992,Ontario,Soybeans [1151211],7.411199999999999
1993,Prince Edward Island,Soybeans [1151211],7.6274999999999995
1993,Quebec,Soybeans [1151211],7.5336
1993,Ontario,Soybeans [1151211],7.5066
1993,Prince Edward Island,Soybeans [1151211],7.7994
1993,Quebec,Soybeans [1151211],7.593
1993,Ontario,Soybeans [1151211],7.565999999999999
1993,Prince Edward Island,Soybeans [1151211],8.4198
1993,Quebec,Soybeans [1151211],7.691999999999999
1993,Ontario,Soybeans [1151211],7.665
1993,Prince Edward Island,Soybeans [1151211],8.825999999999999
1993,Quebec,Soybeans [1151211],7.9104
1993,Ontario,Soybeans [1151211],7.883399999999999
1993,Prince Edward Island,Soybeans [1151211],8.5326
1993,Quebec,Soybeans [1151211],8.0124
1993,Ontario,Soybeans [1151211],7.9851
1993,Prince Edward Island,Soybeans [1151211],8.4351
1993,Quebec,Soybeans [1151211],8.120999999999999
1993,Ontario,Soybeans [1151211],8.0943
1993,Prince Edward Island,Soybeans [1151211],8.4975
1993,Quebec,Soybeans [1151211],9.0885
1993,Ontario,Soybeans [1151211],9.0627
1993,Prince Edward Island,Soybeans [1151211],10.969499999999998
1993,Quebec,Soybeans [1151211],9.1782
1993,Ontario,Soybeans [1151211],9.1365
1993,Prince Edward Island,Soybeans [1151211],10.508099999999999
1993,Quebec,Soybeans [1151211],8.711699999999999
1993,Ontario,Soybeans [1151211],8.6847
1993,Prince Edward Island,Soybeans [1151211],8.25
1993,Quebec,Soybeans [1151211],8.4087
1993,Ontario,Soybeans [1151211],8.3814
1993,Prince Edward Island,Soybeans [1151211],8.25
1993,Quebec,Soybeans [1151211],8.8074
1993,Ontario,Soybeans [1151211],8.7804
1993,Prince Edward Island,Soybeans [1151211],8.549999999999999
1993,Quebec,Soybeans [1151211],9.224400000000001
1993,Ontario,Soybeans [1151211],9.1974
1994,Prince Edward Island,Soybeans [1151211],7.8
1994,Quebec,Soybeans [1151211],9.3069
1994,Ontario,Soybeans [1151211],9.2793
1994,Prince Edward Island,Soybeans [1151211],7.8
1994,Quebec,Soybeans [1151211],9.3576
1994,Ontario,Soybeans [1151211],9.330599999999999
1994,Prince Edward Island,Soybeans [1151211],7.8
1994,Quebec,Soybeans [1151211],9.6768
1994,Ontario,Soybeans [1151211],9.6504
1994,Prince Edward Island,Soybeans [1151211],7.35
1994,Quebec,Soybeans [1151211],9.6957
1994,Ontario,Soybeans [1151211],9.6693
1994,Prince Edward Island,Soybeans [1151211],7.400099999999999
1994,Quebec,Soybeans [1151211],9.6798
1994,Ontario,Soybeans [1151211],9.6525
1994,Prince Edward Island,Soybeans [1151211],7.400099999999999
1994,Quebec,Soybeans [1151211],9.7668
1994,Ontario,Soybeans [1151211],9.741
1994,Prince Edward Island,Soybeans [1151211],7.400099999999999
1994,Quebec,Soybeans [1151211],8.9271
1994,Ontario,Soybeans [1151211],8.9055
1994,Prince Edward Island,Soybeans [1151211],7.400099999999999
1994,Quebec,Soybeans [1151211],8.3784
1994,Ontario,Soybeans [1151211],8.3307
1994,Prince Edward Island,Soybeans [1151211],7.400099999999999
1994,Quebec,Soybeans [1151211],8.4282
1994,Ontario,Soybeans [1151211],8.2332
1994,Prince Edward Island,Soybeans [1151211],7.29
1994,Quebec,Soybeans [1151211],8.2005
1994,Ontario,Soybeans [1151211],8.0532
1994,Prince Edward Island,Soybeans [1151211],7.1898
1994,Quebec,Soybeans [1151211],7.965599999999999
1994,Ontario,Soybeans [1151211],7.825199999999999
1994,Prince Edward Island,Soybeans [1151211],7.1898
1994,Quebec,Soybeans [1151211],7.9899
1994,Ontario,Soybeans [1151211],7.9344
1995,Prince Edward Island,Soybeans [1151211],6.6999
1995,Quebec,Soybeans [1151211],8.0214
1995,Ontario,Soybeans [1151211],8.0907
1995,Prince Edward Island,Soybeans [1151211],6.8199000000000005
1995,Quebec,Soybeans [1151211],8.078399999999998
1995,Ontario,Soybeans [1151211],8.0496
1995,Prince Edward Island,Soybeans [1151211],6.980099999999999
1995,Quebec,Soybeans [1151211],8.2158
1995,Ontario,Soybeans [1151211],8.3088
1995,Prince Edward Island,Soybeans [1151211],6.9399
1995,Quebec,Soybeans [1151211],8.1909
1995,Ontario,Soybeans [1151211],8.5392
1995,Prince Edward Island,Soybeans [1151211],7.05
1995,Quebec,Soybeans [1151211],8.5044
1995,Ontario,Soybeans [1151211],8.4207
1995,Prince Edward Island,Soybeans [1151211],7.05
1995,Quebec,Soybeans [1151211],8.6571
1995,Ontario,Soybeans [1151211],8.6307
1995,Prince Edward Island,Soybeans [1151211],7.05
1995,Quebec,Soybeans [1151211],8.6685
1995,Ontario,Soybeans [1151211],8.8191
1995,Prince Edward Island,Soybeans [1151211],8.549999999999999
1995,Quebec,Soybeans [1151211],8.7663
1995,Ontario,Soybeans [1151211],8.6754
1995,Prince Edward Island,Soybeans [1151211],8.549999999999999
1995,Quebec,Soybeans [1151211],8.6772
1995,Ontario,Soybeans [1151211],8.7447
1995,Prince Edward Island,Soybeans [1151211],8.549999999999999
1995,Quebec,Soybeans [1151211],8.7279
1995,Ontario,Soybeans [1151211],8.860199999999999
1995,Prince Edward Island,Soybeans [1151211],8.5086
1995,Quebec,Soybeans [1151211],8.8536
1995,Ontario,Soybeans [1151211],9.267
1995,Prince Edward Island,Soybeans [1151211],8.1
1995,Quebec,Soybeans [1151211],9.4239
1995,Ontario,Soybeans [1151211],9.8121
1996,Prince Edward Island,Soybeans [1151211],9.45
1996,Quebec,Soybeans [1151211],10.1415
1996,Ontario,Soybeans [1151211],9.714
1996,Prince Edward Island,Soybeans [1151211],8.9934
1996,Quebec,Soybeans [1151211],10.450199999999999
