year,province,Farm products,value
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",NA
2012,Saskatchewan,"Wheat (except durum wheat), milling",NA
2012,Alberta,"Wheat (except durum wheat), milling",NA
2012,British Columbia,"Wheat (except durum wheat), milling",NA
2012,Manitoba,"Wheat (except durum wheat), milling",7.862399999999999
2012,Saskatchewan,"Wheat (except durum wheat), milling",7.911299999999999
2012,Alberta,"Wheat (except durum wheat), milling",8.328899999999999
2012,British Columbia,"Wheat (except durum wheat), milling",8.328899999999999
2012,Manitoba,"Wheat (except durum wheat), milling",8.4633
2012,Saskatchewan,"Wheat (except durum wheat), milling",8.3565
2012,Alberta,"Wheat (except durum wheat), milling",8.5305
2012,British Columbia,"Wheat (except durum wheat), milling",8.5305
2012,Manitoba,"Wheat (except durum wheat), milling",8.766
2012,Saskatchewan,"Wheat (except durum wheat), milling",8.398499999999999
2012,Alberta,"Wheat (except durum wheat), milling",8.389199999999999
2012,British Columbia,"Wheat (except durum wheat), milling",8.389199999999999
2012,Manitoba,"Wheat (except durum wheat), milling",9.0915
2012,Saskatchewan,"Wheat (except durum wheat), milling",8.6565
2012,Alberta,"Wheat (except durum wheat), milling",8.642399999999999
2012,British Columbia,"Wheat (except durum wheat), milling",8.642399999999999
2012,Manitoba,"Wheat (except durum wheat), milling",9.2235
2012,Saskatchewan,"Wheat (except durum wheat), milling",8.7279
2012,Alberta,"Wheat (except durum wheat), milling",8.666699999999999
2012,British Columbia,"Wheat (except durum wheat), milling",8.666699999999999
2013,Manitoba,"Wheat (except durum wheat), milling",8.966099999999999
2013,Saskatchewan,"Wheat (except durum wheat), milling",8.775899999999998
2013,Alberta,"Wheat (except durum wheat), milling",8.8314
2013,British Columbia,"Wheat (except durum wheat), milling",8.8314
2013,Manitoba,"Wheat (except durum wheat), milling",8.800199999999998
2013,Saskatchewan,"Wheat (except durum wheat), milling",8.4843
2013,Alberta,"Wheat (except durum wheat), milling",8.820899999999998
2013,British Columbia,"Wheat (except durum wheat), milling",8.820899999999998
2013,Manitoba,"Wheat (except durum wheat), milling",8.7369
2013,Saskatchewan,"Wheat (except durum wheat), milling",8.5617
2013,Alberta,"Wheat (except durum wheat), milling",8.8419
2013,British Columbia,"Wheat (except durum wheat), milling",8.8419
2013,Manitoba,"Wheat (except durum wheat), milling",8.5578
2013,Saskatchewan,"Wheat (except durum wheat), milling",8.4936
2013,Alberta,"Wheat (except durum wheat), milling",8.8584
2013,British Columbia,"Wheat (except durum wheat), milling",8.8584
2013,Manitoba,"Wheat (except durum wheat), milling",8.6184
2013,Saskatchewan,"Wheat (except durum wheat), milling",8.4954
2013,Alberta,"Wheat (except durum wheat), milling",8.782499999999999
2013,British Columbia,"Wheat (except durum wheat), milling",8.782499999999999
2013,Manitoba,"Wheat (except durum wheat), milling",8.4708
2013,Saskatchewan,"Wheat (except durum wheat), milling",8.2608
2013,Alberta,"Wheat (except durum wheat), milling",8.617799999999999
2013,British Columbia,"Wheat (except durum wheat), milling",8.617799999999999
2013,Manitoba,"Wheat (except durum wheat), milling",8.1495
2013,Saskatchewan,"Wheat (except durum wheat), milling",7.965299999999999
2013,Alberta,"Wheat (except durum wheat), milling",8.2728
2013,British Columbia,"Wheat (except durum wheat), milling",8.2728
2013,Manitoba,"Wheat (except durum wheat), milling",7.5624
2013,Saskatchewan,"Wheat (except durum wheat), milling",7.4745
2013,Alberta,"Wheat (except durum wheat), milling",7.7157
2013,British Columbia,"Wheat (except durum wheat), milling",7.7157
2013,Manitoba,"Wheat (except durum wheat), milling",7.5141
2013,Saskatchewan,"Wheat (except durum wheat), milling",7.0451999999999995
2013,Alberta,"Wheat (except durum wheat), milling",7.3959
2013,British Columbia,"Wheat (except durum wheat), milling",7.3959
2013,Manitoba,"Wheat (except durum wheat), milling",7.3869
2013,Saskatchewan,"Wheat (except durum wheat), milling",7.0539
2013,Alberta,"Wheat (except durum wheat), milling",7.3947
2013,British Columbia,"Wheat (except durum wheat), milling",7.3947
2013,Manitoba,"Wheat (except durum wheat), milling",7.2573
2013,Saskatchewan,"Wheat (except durum wheat), milling",6.9132
2013,Alberta,"Wheat (except durum wheat), milling",7.3191
2013,British Columbia,"Wheat (except durum wheat), milling",7.3191
2013,Manitoba,"Wheat (except durum wheat), milling",7.0461
2013,Saskatchewan,"Wheat (except durum wheat), milling",6.7155
2013,Alberta,"Wheat (except durum wheat), milling",7.106699999999999
2013,British Columbia,"Wheat (except durum wheat), milling",7.106699999999999
2014,Manitoba,"Wheat (except durum wheat), milling",6.9297
2014,Saskatchewan,"Wheat (except durum wheat), milling",6.4872
2014,Alberta,"Wheat (except durum wheat), milling",6.919199999999999
2014,British Columbia,"Wheat (except durum wheat), milling",6.919199999999999
2014,Manitoba,"Wheat (except durum wheat), milling",6.4584
2014,Saskatchewan,"Wheat (except durum wheat), milling",6.369
2014,Alberta,"Wheat (except durum wheat), milling",6.723
2014,British Columbia,"Wheat (except durum wheat), milling",6.723
2014,Manitoba,"Wheat (except durum wheat), milling",6.528899999999999
2014,Saskatchewan,"Wheat (except durum wheat), milling",6.246899999999999
2014,Alberta,"Wheat (except durum wheat), milling",6.6807
2014,British Columbia,"Wheat (except durum wheat), milling",6.6807
2014,Manitoba,"Wheat (except durum wheat), milling",6.5058
2014,Saskatchewan,"Wheat (except durum wheat), milling",6.1914
2014,Alberta,"Wheat (except durum wheat), milling",6.4347
2014,British Columbia,"Wheat (except durum wheat), milling",6.4347
2014,Manitoba,"Wheat (except durum wheat), milling",6.658499999999999
2014,Saskatchewan,"Wheat (except durum wheat), milling",6.1107
2014,Alberta,"Wheat (except durum wheat), milling",6.4677
2014,British Columbia,"Wheat (except durum wheat), milling",6.4677
2014,Manitoba,"Wheat (except durum wheat), milling",6.6114
2014,Saskatchewan,"Wheat (except durum wheat), milling",5.9295
2014,Alberta,"Wheat (except durum wheat), milling",6.2313
2014,British Columbia,"Wheat (except durum wheat), milling",6.2313
2014,Manitoba,"Wheat (except durum wheat), milling",6.4263
2014,Saskatchewan,"Wheat (except durum wheat), milling",5.825699999999999
2014,Alberta,"Wheat (except durum wheat), milling",5.9304
2014,British Columbia,"Wheat (except durum wheat), milling",5.9304
2014,Manitoba,"Wheat (except durum wheat), milling",6.285
2014,Saskatchewan,"Wheat (except durum wheat), milling",5.7006
2014,Alberta,"Wheat (except durum wheat), milling",5.8209
2014,British Columbia,"Wheat (except durum wheat), milling",5.8209
