year,value
1985,325.4375
1986,226.47083333333333
1987,207.435
1988,301.06416666666667
1989,273.32166666666666
1990,269.805
1991,248.40583333333333
1992,245.5275
1993,274.76666666666665
1994,338.795
1995,368.4775
1996,379.5025
1997,374.62833333333333
1998,373.0183333333333
1999,290.59333333333336
2000,233.69333333333333
2001,282.40583333333336
2002,351.91083333333336
2003,349.5391666666667
2004,358.04333333333335
2005,269.44166666666666
2006,271.835
2007,372.55583333333334
2008,492.7966666666667
2009,437.93333333333334
2010,416.96416666666664
2011,530.2041666666667
2012,563.8372727272728
2013,574.615
2014,441.9166666666667
2015,458.44666666666666
2016,472.27750000000003
2017,497.6741666666667
2018,496.42333333333335
2019,443.465
2020,461.0425
2021,676.5575
