year,value
1987,186.41666666666666
1988,184.66666666666666
1989,192.25
1990,181.66666666666666
1991,173.16666666666666
1992,169.09166666666667
1993,176.45833333333334
1994,175.25
1995,179.75
1996,222.66666666666666
1997,204.5
1998,169.66666666666666
1999,141.33333333333334
2000,119.66666666666667
2001,155.25
2002,210
2003,186.25
2004,170.83333333333334
2005,128.83333333333334
2006,138.75
2007,221.91666666666666
2008,313.5
2009,226.25
2010,196.91666666666666
2011,284.25
2012,317.38545454545454
2013,304.98333333333335
2014,238.44083333333333
2015,307.3541666666667
2016,362.6275
2017,310.4925
2018,255.79833333333335
2019,255.35166666666666
2020,275.93666666666667
2021,383.29833333333335
