year,value
1985,105.04
1986,82.77916666666667
1987,66.36749999999999
1988,111.87583333333333
1989,107.37583333333333
1990,74.72333333333333
1991,69.435
1992,95.23833333333333
1993,93.63
1994,84.74249999999999
1995,109.8325
1996,167.5875
1997,115.24416666666666
1998,105.7475
1999,88.93833333333333
2000,86.11
2001,119.485
2002,199.04083333333332
2003,195.59166666666667
2004,113.26583333333333
2005,112.17833333333333
2006,116.345
2007,157.255
2008,184.99083333333334
2009,167.51833333333335
2010,152.515
2011,202.11333333333334
2012,195.0611111111111
2013,217.39333333333335
2014,170.13272727272727
2015,193.00666666666666
2016,184.3
2017,192.56142857142856
2018,197.25666666666666
2019,218.23624999999998
2020,217.71333333333334
2021,266.4633333333333
