year,Canola
1908,..
1909,..
1910,..
1911,..
1912,..
1913,..
1914,..
1915,..
1916,..
1917,..
1918,..
1919,..
1920,..
1921,..
1922,..
1923,..
1924,..
1925,..
1926,..
1927,..
1928,..
1929,..
1930,..
1931,..
1932,..
1933,..
1934,..
1935,..
1936,..
1937,..
1938,..
1939,..
1940,..
1941,..
1942,..
1943,..
1944,..
1945,..
1946,..
1947,..
1948,..
1949,..
1950,..
1951,..
1952,..
1953,..
1954,..
1955,11.2
1956,18
1957,14.8
1958,13
1959,15.9
1960,14.7
1961,17.1
1962,15.5
1963,16
1964,16
1965,12.9
1966,17.6
1967,13.9
1968,16.7
1969,14.3
1970,17.6
1971,16.1
1972,18.5
1973,16.5
1974,16.3
1975,17.9
1976,19.7
1977,22.9
1978,21
1979,18.1
1980,22.7
1981,23.1
1982,22.6
1983,18.8
1984,20
1985,19.6
1986,25
1987,25.3
1988,24.2
1989,23
1990,23.1
1991,24
1992,21.6
1993,26.1
1994,21.8
1995,24.5
1996,25
1997,23.5
1998,25.3
1999,29
2000,26.1
2001,27.3
2002,21.6
2003,29.7
2004,34.2
2005,37.9
2006,33.7
2007,30
2008,36.9
2009,32.7
2010,38
2011,39.5
2012,33.8
2013,43.1
2014,37.8
2015,41.4
2016,45.4
2017,43.7
2018,38.8
2019,40.3
2020,40.2
2021,27.7
