year,Flaxseed
1908,12.5
1909,18.8
1910,2.5
1911,10.4
1912,12.8
1913,11
1914,7.7
1915,14
1916,13.8
1917,7
1918,5
1919,2.8
1920,7
1921,6
1922,4
1923,10.4
1924,3.7
1925,4.7
1926,7
1927,16
1928,9.9
1929,5
1930,12
1931,6.6
1932,8.7
1933,4
1934,5.8
1935,8
1936,5.6
1937,6.2
1938,8
1939,8.9
1940,10.1
1941,6.8
1942,12
1943,6
1944,6.5
1945,6.2
1946,8.5
1947,8.4
1948,12.2
1949,8
1950,8.3
1951,11.1
1952,13.2
1953,12.2
1954,10
1955,12.1
1956,13.9
1957,8.6
1958,11.7
1959,11.4
1960,9.2
1961,11
1962,10
1963,12.2
1964,11.6
1965,13.8
1966,15.9
1967,11.7
1968,15.1
1969,14
1970,16.3
1971,12.9
1972,15.9
1973,14.5
1974,12.5
1975,16
1976,16
1977,16
1978,20
1979,17.6
1980,19.4
1981,22
1982,20
1983,18.3
1984,15
1985,13.8
1986,22.4
1987,21.8
1988,22.9
1989,20
1990,22.2
1991,21.3
1992,18.8
1993,26.7
1994,22.9
1995,23.3
1996,22.9
1997,21.4
1998,22.1
1999,22.1
2000,20
2001,22.9
2002,20
2003,20
2004,25.6
2005,28
2006,26
2007,21.3
2008,28.9
2009,28
2010,31.6
2011,31.7
2012,31.8
2013,32.2
2014,28.7
2015,27.7
2016,32.7
2017,28.8
2018,26
2019,30.1
2020,33.2
2021,16.9
