year,Flaxseed
1908,10.4
1909,16.2
1910,7.7
1911,11.3
1912,12.9
1913,11.2
1914,6.4
1915,13.3
1916,12.3
1917,6.2
1918,5
1919,4.8
1920,5
1921,7.6
1922,8.8
1923,11.8
1924,6.6
1925,7
1926,7.2
1927,10.2
1928,9.5
1929,4.9
1930,9
1931,3.6
1932,5.8
1933,2
1934,3.1
1935,4.8
1936,3.4
1937,1.1
1938,5.2
1939,6.7
1940,7.1
1941,6
1942,9.9
1943,5.8
1944,6.8
1945,5.8
1946,6
1947,6
1948,7.9
1949,4.9
1950,5.6
1951,7.8
1952,10.8
1953,10.2
1954,9.3
1955,11
1956,11.4
1957,5.2
1958,7.6
1959,6.5
1960,8.6
1961,6
1962,10.5
1963,14.4
1964,8.6
1965,13
1966,14
1967,8.3
1968,11.6
1969,14.7
1970,16.6
1971,13.9
1972,13.8
1973,13.7
1974,8.5
1975,13.1
1976,17
1977,17.8
1978,17.8
1979,12.8
1980,14.5
1981,16.9
1982,18.4
1983,18.8
1984,13.5
1985,17.4
1986,20.8
1987,19.1
1988,11.8
1989,13.3
1990,20
1991,19.3
1992,16.5
1993,20.8
1994,20.7
1995,20.2
1996,22.7
1997,18.4
1998,19.6
1999,20.7
2000,18.6
2001,16.7
2002,15.9
2003,15.4
2004,14.3
2005,22
2006,19.8
2007,18.8
2008,21.2
2009,23.1
2010,18.3
2011,21.6
2012,22.1
2013,28
2014,21.4
2015,23.7
2016,27
2017,19.8
2018,22.4
2019,21.6
2020,23.4
2021,12.6
