year,Oats
1908,31.4
1909,49.7
1910,31.2
1911,46.1
1912,46
1913,41.4
1914,24.5
1915,43.5
1916,43.1
1917,27.3
1918,21.5
1919,23.2
1920,27.7
1921,30
1922,35.2
1923,44.5
1924,19.7
1925,27.3
1926,28.1
1927,32.3
1928,35.8
1929,16.2
1930,27.7
1931,15.8
1932,24.6
1933,16.5
1934,13.9
1935,26.7
1936,14
1937,5.1
1938,21.6
1939,27
1940,24
1941,18
1942,52
1943,30.9
1944,35.2
1945,25
1946,23.1
1947,20.1
1948,24.4
1949,25.1
1950,33.1
1951,38.8
1952,45.2
1953,40.8
1954,30.2
1955,36.9
1956,45
1957,24.9
1958,27.2
1959,28.5
1960,37.6
1961,12.7
1962,40.6
1963,53.2
1964,36.8
1965,49
1966,49.2
1967,32
1968,41.1
1969,50.5
1970,54.9
1971,56.5
1972,46.7
1973,49.5
1974,39.5
1975,46.5
1976,56.3
1977,51.6
1978,50.8
1979,41
1980,44.4
1981,48.2
1982,56.4
1983,49.4
1984,37.3
1985,48
1986,61.3
1987,57.5
1988,38.6
1989,43.3
1990,56.3
1991,49
1992,51.8
1993,63.6
1994,62.1
1995,60
1996,67.8
1997,55.2
1998,61.6
1999,64.2
2000,63.1
2001,47.9
2002,45.3
2003,47.8
2004,66.4
2005,70.4
2006,62.6
2007,64
2008,77.4
2009,80.5
2010,67.6
2011,81.1
2012,73.2
2013,95.3
2014,87.8
2015,90.9
2016,94
2017,90.8
2018,90.8
2019,96.2
2020,91.4
2021,54
