year,Peas
1908,..
1909,..
1910,11.1
1911,20
1912,28
1913,17.5
1914,0
1915,15.4
1916,32.5
1917,17.2
1918,20
1919,18
1920,14.5
1921,19.3
1922,22.5
1923,27.3
1924,16.6
1925,21
1926,15
1927,19.2
1928,13
1929,10
1930,15.8
1931,11.5
1932,11
1933,8
1934,6
1935,15
1936,6.5
1937,3.9
1938,7.5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,15
1945,22
1946,15
1947,10.8
1948,15
1949,22
1950,12
1951,19.7
1952,18
1953,18
1954,19
1955,20
1956,25
1957,15
1958,13.8
1959,10
1960,25
1961,15
1962,15.3
1963,21.1
1964,11.9
1965,20
1966,25
1967,21.2
1968,30
1969,25.9
1970,22.4
1971,21.2
1972,20
1973,23.1
1974,21.5
1975,25.7
1976,25.3
1977,20.4
1978,29.6
1979,23.3
1980,23.3
1981,20.5
1982,31
1983,27.8
1984,22.5
1985,30
1986,26.7
1987,24.1
1988,13.7
1989,19.4
1990,29.2
1991,30.1
1992,27.3
1993,29.7
1994,30
1995,24.5
1996,31.2
1997,28.4
1998,31.2
1999,39.6
2000,34.4
2001,20.8
2002,18.3
2003,22.5
2004,36.2
2005,34
2006,28.7
2007,29.5
2008,32.5
2009,33.8
2010,29.8
2011,36.4
2012,30
2013,42.5
2014,32.5
2015,30.9
2016,40.5
2017,33.8
2018,34.5
2019,37
2020,39.5
2021,20.2
