year,Wheat
1908,14.5
1909,23.1
1910,15.8
1911,20.8
1912,19.2
1913,21.2
1914,13.7
1915,25.1
1916,16.3
1917,14.3
1918,10
1919,8.5
1920,11.2
1921,13.9
1922,20.3
1923,21.2
1924,10.2
1925,18.8
1926,16.2
1927,19.5
1928,23.3
1929,11.1
1930,14.4
1931,8.8
1932,13.6
1933,8.7
1934,8.6
1935,10.8
1936,7.5
1937,2.6
1938,10
1939,19.1
1940,17.1
1941,12.1
1942,24.7
1943,15.2
1944,18.3
1945,12.4
1946,14.6
1947,12.1
1948,13.3
1949,12.2
1950,16.6
1951,20.9
1952,27.1
1953,23.3
1954,10.3
1955,22.7
1956,24.4
1957,16.4
1958,15.1
1959,16.1
1960,20.7
1961,8.6
1962,20.5
1963,27.7
1964,18.2
1965,21.7
1966,27.7
1967,17.4
1968,19.8
1969,27.1
1970,26.2
1971,27.1
1972,23.6
1973,24.3
1974,21.2
1975,25.6
1976,31.3
1977,29.4
1978,29.4
1979,21.7
1980,23
1981,27.7
1982,30.7
1983,26.9
1984,21.7
1985,24.5
1986,31.6
1987,27.9
1988,13.7
1989,24
1990,31.9
1991,31.6
1992,28.6
1993,30.3
1994,28.3
1995,28.6
1996,34.1
1997,28
1998,30.3
1999,35.4
2000,32.5
2001,25
2002,20.4
2003,26.7
2004,32.4
2005,36.6
2006,31.8
2007,28.2
2008,36.1
2009,38.6
2010,35.1
2011,38.7
2012,35.9
2013,48.8
2014,40.6
2015,39.7
2016,46.1
2017,47.9
2018,47.7
2019,47.3
2020,48.7
2021,30.9
